Match: rule-set 'v1.1-baseline'  games=2000  depth=8  max-plies=600  openings=2000x6plies  seed=20260425  parallel=4
  [w0]  #73   0-1     Party extinct                       264 plies   11.4s  (76/2000)
  [w2]  #83   1-0     Treasure checkmated or captured     135 plies    5.9s  (77/2000)
  [w1]  #74   1-0     Treasure checkmated or captured     165 plies    7.2s  (78/2000)
  [w3]  #80   0-1     Party extinct                       202 plies    8.8s  (79/2000)
  [w1]  #78   0-1     Party extinct                       160 plies    7.0s  (80/2000)
  [w0]  #77   1-0     Treasure checkmated or captured     215 plies    9.3s  (81/2000)
  [w3]  #84   0-1     Party extinct                       160 plies    7.0s  (82/2000)
  [w1]  #82   1-0     Treasure checkmated or captured      73 plies    3.3s  (83/2000)
  [w2]  #87   0-1     Party extinct                       286 plies   12.4s  (84/2000)
  [w1]  #86   0-1     Party extinct                        70 plies    3.2s  (85/2000)
  [w3]  #88   1-0     Treasure checkmated or captured     145 plies    6.3s  (86/2000)
  [w2]  #91   0-1     Party extinct                       122 plies    5.4s  (87/2000)
  [w2]  #95   0-1     Party extinct                       218 plies    9.4s  (88/2000)
  [w2]  #99   0-1     Party extinct                        78 plies    3.6s  (89/2000)
  [w0]  #81   *       ply cap (600)                       600 plies   25.5s  (90/2000)
  [w1]  #90   *       ply cap (600)                       600 plies   25.5s  (91/2000)
  [w2]  #103  1-0     Treasure checkmated or captured     201 plies    8.9s  (92/2000)
  [w0]  #85   0-1     Party extinct                       152 plies    6.7s  (93/2000)
  [w3]  #92   *       ply cap (600)                       600 plies   25.5s  (94/2000)
  [w2]  #107  1-0     Treasure checkmated or captured     105 plies    4.7s  (95/2000)
  [w1]  #94   1-0     Treasure checkmated or captured     217 plies    9.4s  (96/2000)
  [w0]  #89   0-1     Party extinct                       230 plies    9.9s  (97/2000)
  [w3]  #96   1-0     Treasure checkmated or captured     213 plies    9.2s  (98/2000)
  [w2]  #111  1-0     Treasure checkmated or captured     225 plies    9.7s  (99/2000)
  [w0]  #93   0-1     Party extinct                       102 plies    4.5s  (100/2000)
  [w1]  #98   1-0     Treasure checkmated or captured     143 plies    6.6s  (101/2000)
  [w2]  #115  1-0     Treasure checkmated or captured      91 plies    4.1s  (102/2000)
  [w3]  #100  0-1     Party extinct                       204 plies    8.9s  (103/2000)
  [w1]  #102  1-0     Treasure checkmated or captured     371 plies   15.9s  (104/2000)
  [w1]  #106  1-0     Treasure checkmated or captured       5 plies    0.5s  (105/2000)
  [w3]  #104  1-0     Treasure checkmated or captured     287 plies   12.6s  (106/2000)
  [w0]  #97   0-1     Party extinct                       474 plies   20.2s  (107/2000)
  [w2]  #119  1-0     Treasure checkmated or captured     403 plies   17.3s  (108/2000)
  [w1]  #110  0-1     Party extinct                       176 plies    7.7s  (109/2000)
  [w0]  #101  0-1     Party extinct                       146 plies    6.4s  (110/2000)
  [w1]  #114  0-1     Party extinct                       138 plies    6.3s  (111/2000)
  [w1]  #118  1-0     Treasure checkmated or captured      29 plies    1.5s  (112/2000)
  [w2]  #123  1-0     Treasure checkmated or captured     297 plies   12.8s  (113/2000)
  [w0]  #105  0-1     Party extinct                       180 plies    8.1s  (114/2000)
  [w0]  #109  0-1     Party extinct                       104 plies    4.6s  (115/2000)
  [w3]  #108  *       ply cap (600)                       600 plies   25.4s  (116/2000)
  [w2]  #127  0-1     Party extinct                       238 plies   10.5s  (117/2000)
  [w0]  #113  0-1     Party extinct                       202 plies    8.8s  (118/2000)
  [w3]  #112  0-1     Party extinct                       176 plies    7.9s  (119/2000)
  [w2]  #131  0-1     Party extinct                       192 plies    8.4s  (120/2000)
  [w1]  #122  *       ply cap (600)                       600 plies   25.5s  (121/2000)
  [w0]  #117  1-0     Treasure checkmated or captured     253 plies   10.9s  (122/2000)
  [w3]  #116  1-0     Treasure checkmated or captured     193 plies    8.6s  (123/2000)
  [w2]  #135  0-1     Party extinct                       218 plies    9.5s  (124/2000)
  [w0]  #121  0-1     Party extinct                       172 plies    7.6s  (125/2000)
  [w1]  #126  1-0     Treasure checkmated or captured     229 plies    9.9s  (126/2000)
  [w3]  #120  0-1     Party extinct                       240 plies   10.3s  (127/2000)
  [w2]  #139  1-0     Treasure checkmated or captured     213 plies    9.2s  (128/2000)
  [w1]  #130  1-0     Treasure checkmated or captured     195 plies    8.5s  (129/2000)
  [w2]  #143  0-1     Party extinct                       170 plies    7.4s  (130/2000)
  [w1]  #134  0-1     Party extinct                       232 plies   10.0s  (131/2000)
  [w2]  #147  1-0     Treasure checkmated or captured     283 plies   12.3s  (132/2000)
  [w1]  #138  0-1     Party extinct                        96 plies    4.9s  (133/2000)
  [w0]  #125  *       ply cap (600)                       600 plies   25.5s  (134/2000)
  [w3]  #124  *       ply cap (600)                       600 plies   25.9s  (135/2000)
  [w2]  #151  1-0     Treasure checkmated or captured     143 plies    6.3s  (136/2000)
  [w2]  #155  1-0     Treasure checkmated or captured      31 plies    1.6s  (137/2000)
  [w0]  #129  0-1     Party extinct                       168 plies    7.3s  (138/2000)
