Match: rule-set 'v1.1-baseline'  games=500  depth=8  max-plies=600  openings=500x6plies  seed=20260424  parallel=4
  [w2]  #87   1-0     Treasure checkmated or captured     199 plies    8.7s  (78/500)
  [w1]  #70   1-0     Treasure checkmated or captured     213 plies    9.3s  (79/500)
  [w0]  #73   1-0     Treasure checkmated or captured     261 plies   11.3s  (80/500)
  [w3]  #88   0-1     Party extinct                       232 plies   10.0s  (81/500)
  [w1]  #74   0-1     Party extinct                       228 plies    9.9s  (82/500)
  [w0]  #77   1-0     Treasure checkmated or captured     229 plies    9.9s  (83/500)
  [w2]  #91   1-0     Treasure checkmated or captured     343 plies   14.8s  (84/500)
  [w0]  #81   0-1     Party extinct                       170 plies    7.5s  (85/500)
  [w3]  #92   1-0     Treasure checkmated or captured     291 plies   12.8s  (86/500)
  [w1]  #78   0-1     Party extinct                       262 plies   11.3s  (87/500)
  [w2]  #95   0-1     Party extinct                       236 plies   10.2s  (88/500)
  [w1]  #82   1-0     Treasure checkmated or captured     149 plies    6.6s  (89/500)
  [w2]  #99   0-1     Party extinct                       162 plies    7.1s  (90/500)
  [w0]  #85   1-0     Treasure checkmated or captured     331 plies   14.3s  (91/500)
  [w1]  #86   1-0     Treasure checkmated or captured      91 plies    4.3s  (92/500)
  [w2]  #103  1-0     Treasure checkmated or captured     191 plies    9.0s  (93/500)
  [w1]  #90   1-0     Treasure checkmated or captured     171 plies    7.5s  (94/500)
  [w3]  #96   *       ply cap (600)                       600 plies   25.5s  (95/500)
  [w2]  #107  1-0     Treasure checkmated or captured     153 plies    6.7s  (96/500)
  [w3]  #100  1-0     Treasure checkmated or captured     155 plies    6.8s  (97/500)
  [w1]  #94   0-1     Party extinct                       276 plies   11.9s  (98/500)
  [w3]  #104  0-1     Party extinct                        92 plies    4.2s  (99/500)
  [w0]  #89   *       ply cap (600)                       600 plies   25.5s  (100/500)
  [w1]  #98   0-1     Party extinct                       190 plies    8.3s  (101/500)
  [w1]  #102  0-1     Party extinct                        50 plies    2.4s  (102/500)
  [w3]  #108  1-0     Treasure checkmated or captured     163 plies    7.2s  (103/500)
  [w0]  #93   0-1     Party extinct                       134 plies    5.9s  (104/500)
  [w1]  #106  0-1     Party extinct                       134 plies    5.9s  (105/500)
  [w2]  #111  *       ply cap (600)                       600 plies   25.4s  (106/500)
  [w3]  #112  1-0     Treasure checkmated or captured     217 plies    9.4s  (107/500)
  [w0]  #97   1-0     Treasure checkmated or captured     319 plies   13.8s  (108/500)
  [w3]  #116  0-1     Party extinct                       140 plies    6.3s  (109/500)
  [w2]  #115  0-1     Party extinct                       196 plies    8.5s  (110/500)
  [w1]  #110  0-1     Party extinct                       296 plies   12.7s  (111/500)
  [w0]  #101  1-0     Treasure checkmated or captured     169 plies    7.4s  (112/500)
  [w1]  #114  0-1     Party extinct                       116 plies    5.2s  (113/500)
  [w2]  #119  1-0     Treasure checkmated or captured     201 plies    8.7s  (114/500)
  [w0]  #105  0-1     Party extinct                        90 plies    4.1s  (115/500)
  [w0]  #109  0-1     Party extinct                       130 plies    5.8s  (116/500)
  [w3]  #120  1-0     Treasure checkmated or captured     409 plies   17.5s  (117/500)
  [w3]  #124  1-0     Treasure checkmated or captured     147 plies    6.5s  (118/500)
  [w0]  #113  0-1     Party extinct                       194 plies    8.7s  (119/500)
  [w1]  #118  1-0     Treasure checkmated or captured     439 plies   18.7s  (120/500)
  [w2]  #123  0-1     Party extinct                       426 plies   18.2s  (121/500)
  [w0]  #117  0-1     Party extinct                       150 plies    6.6s  (122/500)
  [w3]  #128  0-1     Party extinct                       168 plies    7.3s  (123/500)
  [w1]  #122  0-1     Party extinct                       252 plies   11.1s  (124/500)
  [w2]  #127  1-0     Treasure checkmated or captured     247 plies   10.7s  (125/500)
  [w3]  #132  0-1     Party extinct                       186 plies    8.1s  (126/500)
  [w2]  #131  0-1     Party has no legal response          34 plies    1.7s  (127/500)
  [w0]  #121  0-1     Party extinct                       254 plies   11.0s  (128/500)
  [w1]  #126  0-1     Party extinct                       162 plies    7.1s  (129/500)
  [w2]  #135  1-0     Treasure checkmated or captured     229 plies    9.9s  (130/500)
  [w3]  #136  1-0     Treasure checkmated or captured     267 plies   11.7s  (131/500)
  [w0]  #125  0-1     Party extinct                       208 plies    9.0s  (132/500)
  [w2]  #139  0-1     Party extinct                       158 plies    7.0s  (133/500)
  [w1]  #130  1-0     Treasure checkmated or captured     315 plies   13.5s  (134/500)
  [w3]  #140  1-0     Treasure checkmated or captured     179 plies    7.8s  (135/500)
  [w0]  #129  1-0     Treasure checkmated or captured     223 plies    9.7s  (136/500)
  [w2]  #143  0-1     Party extinct                       210 plies    9.1s  (137/500)
  [w1]  #134  0-1     Party extinct                       292 plies   12.5s  (138/500)
  [w0]  #133  1-0     Treasure checkmated or captured     223 plies    9.7s  (139/500)
  [w2]  #147  0-1     Party extinct                       152 plies    6.7s  (140/500)
  [w0]  #137  0-1     Party extinct                       204 plies    9.0s  (141/500)
  [w1]  #138  0-1     Party extinct                       216 plies    9.4s  (142/500)
  [w2]  #151  0-1     Party extinct                       230 plies   10.0s  (143/500)
  [w3]  #144  *       ply cap (600)                       600 plies   25.5s  (144/500)
  [w3]  #148  0-1     Party has no legal response         114 plies    5.1s  (145/500)
  [w0]  #141  0-1     Party extinct                       234 plies   10.1s  (146/500)
  [w2]  #155  1-0     Treasure checkmated or captured     281 plies   12.1s  (147/500)
  [w0]  #145  1-0     Treasure checkmated or captured     343 plies   14.7s  (148/500)
  [w3]  #152  0-1     Party extinct                       360 plies   15.6s  (149/500)
  [w1]  #142  *       ply cap (600)                       600 plies   25.5s  (150/500)
  [w2]  #159  1-0     Treasure checkmated or captured     361 plies   15.6s  (151/500)
  [w0]  #149  1-0     Treasure checkmated or captured     151 plies    6.7s  (152/500)
  [w3]  #156  1-0     Treasure checkmated or captured     163 plies    7.2s  (153/500)
  [w1]  #146  0-1     Party extinct                       202 plies    8.8s  (154/500)
  [w0]  #153  0-1     Party extinct                       224 plies    9.7s  (155/500)
  [w1]  #150  0-1     Party extinct                       164 plies    7.3s  (156/500)
  [w2]  #163  1-0     Treasure checkmated or captured     303 plies   13.1s  (157/500)
  [w0]  #157  0-1     Party extinct                        92 plies    4.2s  (158/500)
  [w0]  #161  0-1     Party extinct                       140 plies    6.3s  (159/500)
  [w1]  #154  0-1     Party extinct                       228 plies    9.9s  (160/500)
  [w2]  #167  0-1     Party extinct                       250 plies   11.0s  (161/500)
  [w3]  #160  *       ply cap (600)                       600 plies   25.5s  (162/500)
  [w1]  #158  1-0     Treasure checkmated or captured     231 plies   10.0s  (163/500)
  [w3]  #164  0-1     Party extinct                       116 plies    5.1s  (164/500)
  [w0]  #165  1-0     Treasure checkmated or captured     311 plies   13.4s  (165/500)
  [w2]  #171  0-1     Party extinct                       320 plies   13.8s  (166/500)
  [w3]  #168  1-0     Treasure checkmated or captured     117 plies    5.2s  (167/500)
  [w1]  #162  1-0     Treasure checkmated or captured     159 plies    7.0s  (168/500)
  [w0]  #169  1-0     Treasure checkmated or captured     107 plies    4.9s  (169/500)
  [w3]  #172  0-1     Party extinct                       168 plies    7.4s  (170/500)
  [w0]  #173  0-1     Party extinct                       190 plies    8.3s  (171/500)
  [w3]  #176  0-1     Party extinct                       154 plies    6.8s  (172/500)
  [w1]  #166  1-0     Treasure checkmated or captured     343 plies   14.7s  (173/500)
  [w2]  #175  0-1     Party extinct                       404 plies   17.3s  (174/500)
  [w0]  #177  1-0     Treasure checkmated or captured     169 plies    7.4s  (175/500)
  [w3]  #180  0-1     Party has no legal response          72 plies    3.3s  (176/500)
  [w3]  #184  1-0     Treasure checkmated or captured     193 plies    8.4s  (177/500)
  [w2]  #179  1-0     Treasure checkmated or captured     239 plies   10.4s  (178/500)
  [w1]  #170  0-1     Party extinct                       328 plies   14.2s  (179/500)
  [w2]  #183  1-0     Treasure checkmated or captured     125 plies    5.6s  (180/500)
  [w3]  #188  1-0     Treasure checkmated or captured     223 plies    9.7s  (181/500)
  [w1]  #174  0-1     Party extinct                       204 plies    8.8s  (182/500)
  [w1]  #178  1-0     Treasure checkmated or captured      85 plies    3.9s  (183/500)
  [w0]  #181  *       ply cap (600)                       600 plies   25.5s  (184/500)
  [w2]  #187  0-1     Party extinct                       242 plies   10.6s  (185/500)
  [w0]  #185  1-0     Treasure checkmated or captured     257 plies   11.1s  (186/500)
  [w2]  #191  1-0     Treasure checkmated or captured     269 plies   11.6s  (187/500)
  [w3]  #192  *       ply cap (600)                       600 plies   25.5s  (188/500)
  [w3]  #196  1-0     Treasure checkmated or captured     125 plies    5.6s  (189/500)
  [w1]  #182  *       ply cap (600)                       600 plies   25.5s  (190/500)
  [w0]  #189  1-0     Treasure checkmated or captured     353 plies   15.2s  (191/500)
  [w2]  #195  0-1     Party extinct                       344 plies   14.8s  (192/500)
  [w1]  #186  1-0     Treasure checkmated or captured     133 plies    5.9s  (193/500)
  [w3]  #200  1-0     Treasure checkmated or captured     189 plies    8.3s  (194/500)
  [w3]  #204  1-0     Treasure checkmated or captured       1 plies    0.3s  (195/500)
  [w0]  #193  0-1     Party extinct                       174 plies    7.6s  (196/500)
  [w2]  #199  0-1     Party extinct                       182 plies    7.9s  (197/500)
