Match: rule-set 'v6-d8-minion-6-striker-range'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  [w1]  #94   1-0     Treasure checkmated or captured     313 plies   13.4s  (80/300)
  [w1]  #98   0-1     Party extinct                       106 plies    4.8s  (81/300)
  [w1]  #102  0-1     Party has no legal response          80 plies    3.7s  (82/300)
  [w2]  #71   *       ply cap (600)                       600 plies   25.5s  (83/300)
  [w3]  #80   *       ply cap (600)                       600 plies   25.5s  (84/300)
  [w3]  #84   0-1     Party has no legal response          60 plies    2.8s  (85/300)
  [w0]  #81   *       ply cap (600)                       600 plies   25.5s  (86/300)
  [w3]  #88   1-0     Treasure checkmated or captured     141 plies    6.2s  (87/300)
  [w1]  #106  0-1     Party extinct                       498 plies   21.2s  (88/300)
  [w0]  #85   1-0     Treasure checkmated or captured     317 plies   13.6s  (89/300)
  [w1]  #110  0-1     Party extinct                       142 plies    6.3s  (90/300)
  [w2]  #75   *       ply cap (600)                       600 plies   25.5s  (91/300)
  [w3]  #92   *       ply cap (600)                       600 plies   25.5s  (92/300)
  [w1]  #114  0-1     Party extinct                       308 plies   13.2s  (93/300)
  [w3]  #96   1-0     Treasure checkmated or captured      97 plies    4.4s  (94/300)
  [w3]  #100  0-1     Party has no legal response          82 plies    3.8s  (95/300)
  [w1]  #118  0-1     Party extinct                       186 plies    8.1s  (96/300)
  [w0]  #89   *       ply cap (600)                       600 plies   25.4s  (97/300)
  [w2]  #79   *       ply cap (600)                       600 plies   25.5s  (98/300)
  [w3]  #104  1-0     Treasure checkmated or captured     181 plies    8.0s  (99/300)
  [w3]  #108  1-0     Treasure checkmated or captured      15 plies    0.9s  (100/300)
  [w1]  #122  *       ply cap (600)                       600 plies   25.5s  (101/300)
  [w0]  #93   *       ply cap (600)                       600 plies   25.5s  (102/300)
  [w2]  #83   *       ply cap (600)                       600 plies   25.5s  (103/300)
  [w3]  #112  *       ply cap (600)                       600 plies   25.5s  (104/300)
  [w2]  #87   0-1     Party extinct                       106 plies    4.8s  (105/300)
  [w1]  #126  *       ply cap (600)                       600 plies   25.5s  (106/300)
  [w0]  #97   *       ply cap (600)                       600 plies   25.5s  (107/300)
  [w3]  #116  *       ply cap (600)                       600 plies   25.6s  (108/300)
  [w2]  #91   *       ply cap (600)                       600 plies   25.5s  (109/300)
  [w2]  #95   1-0     Treasure checkmated or captured     163 plies    7.2s  (110/300)
  [w1]  #130  *       ply cap (600)                       600 plies   25.5s  (111/300)
  [w0]  #101  *       ply cap (600)                       600 plies   25.5s  (112/300)
  [w3]  #120  *       ply cap (600)                       600 plies   25.4s  (113/300)
  [w0]  #105  0-1     Party extinct                       244 plies   10.5s  (114/300)
  [w2]  #99   *       ply cap (600)                       600 plies   25.5s  (115/300)
  [w2]  #103  1-0     Treasure checkmated or captured      65 plies    3.0s  (116/300)
  [w1]  #134  *       ply cap (600)                       600 plies   25.5s  (117/300)
  [w0]  #109  1-0     Treasure checkmated or captured     475 plies   20.3s  (118/300)
  [w3]  #124  *       ply cap (600)                       600 plies   25.5s  (119/300)
  [w0]  #113  0-1     Party extinct                       130 plies    5.8s  (120/300)
  [w3]  #128  1-0     Treasure checkmated or captured     101 plies    4.6s  (121/300)
  [w1]  #138  0-1     Party extinct                       294 plies   12.6s  (122/300)
  [w0]  #117  0-1     Party extinct                       182 plies    8.0s  (123/300)
  [w1]  #142  0-1     Party extinct                       188 plies    8.2s  (124/300)
  [w2]  #107  *       ply cap (600)                       600 plies   25.5s  (125/300)
  [w3]  #132  *       ply cap (600)                       600 plies   25.5s  (126/300)
  [w0]  #121  *       ply cap (600)                       600 plies   25.5s  (127/300)
  [w1]  #146  *       ply cap (600)                       600 plies   25.5s  (128/300)
  [w2]  #111  *       ply cap (600)                       600 plies   25.5s  (129/300)
  [w1]  #150  0-1     Party extinct                       234 plies   10.1s  (130/300)
  [w2]  #115  1-0     Treasure checkmated or captured     291 plies   12.5s  (131/300)
  [w3]  #136  0-1     Party extinct                       534 plies   22.8s  (132/300)
  [w0]  #125  *       ply cap (600)                       600 plies   25.6s  (133/300)
  [w2]  #119  1-0     Treasure checkmated or captured     421 plies   18.0s  (134/300)
  [w1]  #154  *       ply cap (600)                       600 plies   25.5s  (135/300)
  [w2]  #123  1-0     Treasure checkmated or captured     151 plies    6.7s  (136/300)
  [w3]  #140  *       ply cap (600)                       600 plies   25.5s  (137/300)
  [w0]  #129  1-0     Treasure checkmated or captured     367 plies   15.8s  (138/300)
  [w2]  #127  0-1     Party extinct                       476 plies   20.3s  (139/300)
  [w1]  #158  *       ply cap (600)                       600 plies   25.5s  (140/300)
  [w3]  #144  *       ply cap (600)                       600 plies   25.5s  (141/300)
  [w0]  #133  *       ply cap (600)                       600 plies   25.5s  (142/300)
  [w3]  #148  0-1     Party extinct                       146 plies    6.4s  (143/300)
  [w2]  #131  0-1     Party extinct                       320 plies   13.7s  (144/300)
  [w0]  #137  1-0     Treasure checkmated or captured     171 plies    7.5s  (145/300)
  [w3]  #152  0-1     Party extinct                       220 plies    9.5s  (146/300)
  [w1]  #162  0-1     Party extinct                       584 plies   24.8s  (147/300)
  [w2]  #135  0-1     Party extinct                       426 plies   18.2s  (148/300)
  [w0]  #141  *       ply cap (600)                       600 plies   25.5s  (149/300)
  [w3]  #156  *       ply cap (600)                       600 plies   25.5s  (150/300)
  [w2]  #139  0-1     Party extinct                       438 plies   18.7s  (151/300)
  [w2]  #143  1-0     Treasure checkmated or captured      57 plies    2.7s  (152/300)
  [w1]  #166  *       ply cap (600)                       600 plies   25.5s  (153/300)
  [w0]  #145  *       ply cap (600)                       600 plies   25.5s  (154/300)
  [w3]  #160  1-0     Treasure checkmated or captured     479 plies   20.4s  (155/300)
  [w1]  #170  0-1     Party extinct                       396 plies   17.0s  (156/300)
  [w1]  #174  1-0     Treasure checkmated or captured      87 plies    4.0s  (157/300)
  [w2]  #147  *       ply cap (600)                       600 plies   25.5s  (158/300)
  [w0]  #149  *       ply cap (600)                       600 plies   25.5s  (159/300)
  [w3]  #164  *       ply cap (600)                       600 plies   25.5s  (160/300)
  [w1]  #178  *       ply cap (600)                       600 plies   25.5s  (161/300)
  [w2]  #151  *       ply cap (600)                       600 plies   25.5s  (162/300)
  [w3]  #168  1-0     Treasure checkmated or captured     269 plies   11.6s  (163/300)
  [w3]  #172  1-0     Treasure checkmated or captured      75 plies    3.5s  (164/300)
