Match: rule-set 'v6-d8-minion-placement-j7-only'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v6-d8-minion-placement-j7-only-66686-4bee248b3b8f4616b88b2962659fbddf.ini
  startFen : 4abtba3/2mubmbu1m2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)
  [w3]  #76   0-1     Party extinct                       572 plies   24.3s  (82/300)
  [w1]  #90   *       ply cap (600)                       600 plies   25.4s  (83/300)
  [w3]  #80   0-1     Party extinct                       272 plies   11.8s  (84/300)
  [w2]  #95   *       ply cap (600)                       600 plies   25.6s  (85/300)
  [w0]  #73   *       ply cap (600)                       600 plies   25.5s  (86/300)
  [w3]  #84   0-1     Party extinct                       224 plies    9.7s  (87/300)
  [w1]  #94   *       ply cap (600)                       600 plies   25.5s  (88/300)
  [w0]  #77   0-1     Party extinct                       338 plies   14.6s  (89/300)
  [w2]  #99   *       ply cap (600)                       600 plies   25.5s  (90/300)
  [w1]  #98   1-0     Treasure checkmated or captured     319 plies   13.8s  (91/300)
  [w3]  #88   *       ply cap (600)                       600 plies   25.5s  (92/300)
  [w1]  #102  0-1     Party extinct                       254 plies   11.0s  (93/300)
  [w2]  #103  1-0     Treasure checkmated or captured     381 plies   16.4s  (94/300)
  [w0]  #81   *       ply cap (600)                       600 plies   25.6s  (95/300)
  [w1]  #106  0-1     Party extinct                       356 plies   15.3s  (96/300)
  [w0]  #85   0-1     Party extinct                       236 plies   10.2s  (97/300)
  [w3]  #92   *       ply cap (600)                       600 plies   25.5s  (98/300)
  [w0]  #89   0-1     Party extinct                       114 plies    5.1s  (99/300)
  [w2]  #107  1-0     Treasure checkmated or captured     551 plies   23.5s  (100/300)
  [w0]  #93   0-1     Party extinct                        86 plies    3.9s  (101/300)
  [w1]  #110  0-1     Party extinct                       350 plies   15.0s  (102/300)
  [w3]  #96   0-1     Party extinct                       344 plies   14.8s  (103/300)
  [w1]  #114  0-1     Party extinct                       308 plies   13.3s  (104/300)
  [w2]  #111  *       ply cap (600)                       600 plies   25.5s  (105/300)
  [w0]  #97   *       ply cap (600)                       600 plies   25.6s  (106/300)
  [w3]  #100  *       ply cap (600)                       600 plies   25.5s  (107/300)
  [w3]  #104  0-1     Party extinct                       150 plies    6.6s  (108/300)
  [w1]  #118  *       ply cap (600)                       600 plies   25.5s  (109/300)
  [w2]  #115  *       ply cap (600)                       600 plies   25.5s  (110/300)
  [w0]  #101  *       ply cap (600)                       600 plies   25.5s  (111/300)
  [w1]  #122  1-0     Treasure checkmated or captured     329 plies   14.2s  (112/300)
  [w0]  #105  0-1     Party extinct                       260 plies   11.2s  (113/300)
  [w3]  #108  *       ply cap (600)                       600 plies   25.5s  (114/300)
  [w2]  #119  1-0     Treasure checkmated or captured     559 plies   23.8s  (115/300)
  [w0]  #109  0-1     Party extinct                       282 plies   12.2s  (116/300)
  [w1]  #126  1-0     Treasure checkmated or captured     513 plies   21.9s  (117/300)
  [w3]  #112  1-0     Treasure checkmated or captured     337 plies   14.5s  (118/300)
  [w0]  #113  0-1     Party has no legal response         126 plies    5.6s  (119/300)
  [w1]  #130  0-1     Party extinct                       366 plies   15.7s  (120/300)
  [w2]  #123  *       ply cap (600)                       600 plies   25.5s  (121/300)
  [w2]  #127  1-0     Treasure checkmated or captured      93 plies    4.2s  (122/300)
  [w3]  #116  *       ply cap (600)                       600 plies   25.5s  (123/300)
  [w0]  #117  *       ply cap (600)                       600 plies   25.5s  (124/300)
  [w2]  #131  1-0     Treasure checkmated or captured      99 plies    4.5s  (125/300)
  [w1]  #134  *       ply cap (600)                       600 plies   25.5s  (126/300)
  [w1]  #138  1-0     Treasure checkmated or captured      49 plies    2.4s  (127/300)
  [w2]  #135  1-0     Treasure checkmated or captured     347 plies   14.9s  (128/300)
  [w3]  #120  *       ply cap (600)                       600 plies   25.4s  (129/300)
  [w0]  #121  *       ply cap (600)                       600 plies   25.5s  (130/300)
  [w3]  #124  0-1     Party extinct                       168 plies    7.3s  (131/300)
  [w2]  #139  *       ply cap (600)                       600 plies   25.5s  (132/300)
  [w0]  #125  0-1     Party extinct                       482 plies   20.5s  (133/300)
  [w3]  #128  0-1     Party extinct                       324 plies   13.9s  (134/300)
  [w2]  #143  *       ply cap (600)                       600 plies   25.5s  (135/300)
  [w0]  #129  *       ply cap (600)                       600 plies   25.4s  (136/300)
  [w3]  #132  *       ply cap (600)                       600 plies   25.4s  (137/300)
  [w2]  #147  0-1     Party extinct                       232 plies   10.0s  (138/300)
  [w3]  #136  0-1     Party extinct                       246 plies   10.6s  (139/300)
  [w0]  #133  *       ply cap (600)                       600 plies   25.4s  (140/300)
  [w2]  #151  *       ply cap (600)                       600 plies   25.4s  (141/300)
  [w3]  #140  *       ply cap (600)                       600 plies   25.5s  (142/300)
  [w2]  #155  0-1     Party extinct                       186 plies    8.1s  (143/300)
  [w3]  #144  0-1     Party extinct                       140 plies    6.2s  (144/300)
  [w0]  #137  0-1     Party extinct                       448 plies   19.1s  (145/300)
  [w0]  #141  0-1     Party extinct                       368 plies   15.7s  (146/300)
  [w2]  #159  *       ply cap (600)                       600 plies   25.4s  (147/300)
  [w1]  #142  *       engine timeout                       81 plies  123.7s  (148/300)
  [w3]  #148  *       ply cap (600)                       600 plies   25.4s  (149/300)
  [w0]  #145  0-1     Party extinct                       268 plies   11.5s  (150/300)
  [w3]  #152  0-1     Party extinct                       200 plies    8.8s  (151/300)
  [w2]  #163  *       ply cap (600)                       600 plies   25.5s  (152/300)
  [w1]  #146  0-1     Party extinct                       568 plies   24.2s  (153/300)
  [w0]  #149  *       ply cap (600)                       600 plies   25.5s  (154/300)
  [w3]  #156  *       ply cap (600)                       600 plies   25.5s  (155/300)
  [w2]  #167  0-1     Party extinct                       362 plies   15.5s  (156/300)
  [w1]  #150  0-1     Party extinct                       410 plies   17.5s  (157/300)
  [w0]  #153  0-1     Party extinct                       344 plies   14.7s  (158/300)
  [w2]  #171  0-1     Party extinct                       314 plies   13.6s  (159/300)
  [w3]  #160  1-0     Treasure checkmated or captured     451 plies   19.4s  (160/300)
  [w0]  #157  0-1     Party extinct                       242 plies   10.5s  (161/300)
  [w1]  #154  0-1     Party extinct                       372 plies   15.9s  (162/300)
  [w2]  #175  0-1     Party extinct                       266 plies   11.5s  (163/300)
  [w0]  #161  0-1     Party extinct                       580 plies   24.7s  (164/300)
  [w3]  #164  *       ply cap (600)                       600 plies   25.5s  (165/300)
  [w1]  #158  *       ply cap (600)                       600 plies   25.6s  (166/300)
  [w0]  #165  0-1     Party extinct                        92 plies    4.2s  (167/300)
  [w2]  #179  0-1     Party extinct                       562 plies   24.1s  (168/300)
  [w0]  #169  0-1     Party extinct                       120 plies    5.4s  (169/300)
  [w2]  #183  0-1     Party extinct                       376 plies   16.2s  (170/300)
  [w3]  #168  *       ply cap (600)                       600 plies   25.5s  (171/300)
