Match: rule-set 'v6-d8-minion-6-shortcap'  games=300  depth=8  max-plies=400  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v6-d8-minion-6-shortcap-66686-a95843f14944435aa272f3e0cd659660.ini
  startFen : 4abtba3/2mubmbu4/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)
  [w3]  #96   *       ply cap (400)                       400 plies   17.1s  (81/300)
  [w1]  #90   *       ply cap (400)                       400 plies   17.1s  (82/300)
  [w2]  #91   *       ply cap (400)                       400 plies   17.1s  (83/300)
  [w0]  #53   *       ply cap (400)                       400 plies   17.0s  (84/300)
  [w3]  #100  1-0     Treasure checkmated or captured     373 plies   16.0s  (85/300)
  [w0]  #57   0-1     Party has no legal response          44 plies    2.1s  (86/300)
  [w3]  #104  0-1     Party extinct                       180 plies    7.8s  (87/300)
  [w1]  #94   *       ply cap (400)                       400 plies   17.1s  (88/300)
  [w3]  #108  0-1     Party has no legal response          74 plies    3.4s  (89/300)
  [w2]  #95   *       ply cap (400)                       400 plies   17.0s  (90/300)
  [w0]  #61   0-1     Party extinct                       366 plies   15.6s  (91/300)
  [w1]  #98   1-0     Treasure checkmated or captured     361 plies   15.6s  (92/300)
  [w3]  #112  *       ply cap (400)                       400 plies   17.1s  (93/300)
  [w2]  #99   *       ply cap (400)                       400 plies   17.1s  (94/300)
  [w0]  #65   *       ply cap (400)                       400 plies   17.1s  (95/300)
  [w2]  #103  0-1     Party has no legal response          50 plies    2.4s  (96/300)
  [w3]  #116  0-1     Party extinct                       278 plies   12.0s  (97/300)
  [w2]  #107  0-1     Party extinct                       104 plies    4.7s  (98/300)
  [w1]  #102  *       ply cap (400)                       400 plies   17.1s  (99/300)
  [w3]  #120  0-1     Party extinct                       232 plies   10.1s  (100/300)
  [w0]  #69   *       ply cap (400)                       400 plies   17.1s  (101/300)
  [w3]  #124  1-0     Treasure checkmated or captured     137 plies    6.2s  (102/300)
  [w2]  #111  *       ply cap (400)                       400 plies   17.1s  (103/300)
  [w0]  #73   1-0     Treasure checkmated or captured     145 plies    6.4s  (104/300)
  [w1]  #106  *       ply cap (400)                       400 plies   17.1s  (105/300)
  [w3]  #128  0-1     Party extinct                       206 plies    9.0s  (106/300)
  [w2]  #115  *       ply cap (400)                       400 plies   17.1s  (107/300)
  [w3]  #132  1-0     Treasure checkmated or captured     219 plies    9.6s  (108/300)
  [w0]  #77   *       ply cap (400)                       400 plies   17.1s  (109/300)
  [w1]  #110  *       ply cap (400)                       400 plies   17.1s  (110/300)
  [w2]  #119  1-0     Treasure checkmated or captured      73 plies    3.4s  (111/300)
  [w0]  #81   1-0     Treasure checkmated or captured     135 plies    6.0s  (112/300)
  [w0]  #85   1-0     Treasure checkmated or captured      11 plies    0.8s  (113/300)
  [w3]  #136  *       ply cap (400)                       400 plies   17.1s  (114/300)
  [w1]  #114  *       ply cap (400)                       400 plies   17.1s  (115/300)
  [w2]  #123  *       ply cap (400)                       400 plies   17.2s  (116/300)
  [w0]  #89   *       ply cap (400)                       400 plies   17.3s  (117/300)
  [w1]  #118  1-0     Treasure checkmated or captured     175 plies    7.9s  (118/300)
  [w3]  #140  0-1     Party extinct                       216 plies    9.7s  (119/300)
  [w3]  #144  0-1     Party extinct                       196 plies    8.9s  (120/300)
  [w2]  #127  *       ply cap (400)                       400 plies   17.8s  (121/300)
  [w0]  #93   *       ply cap (400)                       400 plies   17.9s  (122/300)
  [w1]  #122  *       ply cap (400)                       400 plies   17.8s  (123/300)
  [w3]  #148  1-0     Treasure checkmated or captured     209 plies    9.5s  (124/300)
  [w3]  #152  0-1     Party extinct                       170 plies    7.8s  (125/300)
  [w2]  #131  *       ply cap (400)                       400 plies   17.8s  (126/300)
  [w0]  #97   *       ply cap (400)                       400 plies   17.8s  (127/300)
  [w1]  #126  *       ply cap (400)                       400 plies   17.8s  (128/300)
  [w2]  #135  1-0     Treasure checkmated or captured     109 plies    5.1s  (129/300)
  [w3]  #156  0-1     Party extinct                       180 plies    8.2s  (130/300)
  [w2]  #139  1-0     Treasure checkmated or captured     127 plies    5.9s  (131/300)
  [w0]  #101  *       ply cap (400)                       400 plies   17.7s  (132/300)
  [w1]  #130  *       ply cap (400)                       400 plies   17.7s  (133/300)
  [w3]  #160  *       ply cap (400)                       400 plies   17.7s  (134/300)
  [w2]  #143  1-0     Treasure checkmated or captured     363 plies   16.0s  (135/300)
  [w0]  #105  0-1     Party extinct                       328 plies   14.1s  (136/300)
  [w1]  #134  *       ply cap (400)                       400 plies   17.1s  (137/300)
  [w3]  #164  *       ply cap (400)                       400 plies   17.1s  (138/300)
  [w2]  #147  *       ply cap (400)                       400 plies   17.1s  (139/300)
  [w1]  #138  0-1     Party extinct                       116 plies    5.2s  (140/300)
  [w3]  #168  0-1     Party extinct                       224 plies    9.7s  (141/300)
  [w0]  #109  *       ply cap (400)                       400 plies   17.1s  (142/300)
  [w1]  #142  0-1     Party extinct                       272 plies   11.7s  (143/300)
  [w2]  #151  *       ply cap (400)                       400 plies   17.1s  (144/300)
  [w3]  #172  *       ply cap (400)                       400 plies   17.1s  (145/300)
  [w1]  #146  0-1     Party extinct                       280 plies   12.1s  (146/300)
  [w0]  #113  *       ply cap (400)                       400 plies   17.1s  (147/300)
  [w2]  #155  1-0     Treasure checkmated or captured     223 plies    9.7s  (148/300)
  [w3]  #176  *       ply cap (400)                       400 plies   17.2s  (149/300)
  [w1]  #150  *       ply cap (400)                       400 plies   17.2s  (150/300)
  [w0]  #117  *       ply cap (400)                       400 plies   17.1s  (151/300)
  [w2]  #159  *       ply cap (400)                       400 plies   17.1s  (152/300)
  [w2]  #163  0-1     Party has no legal response         194 plies    8.4s  (153/300)
