Match: rule-set 'v7-d8-spsa-base-best'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260426  parallel=4
  [w0]  #77   1-0     Treasure checkmated or captured     107 plies    4.9s  (78/300)
  [w0]  #81   0-1     Party extinct                        60 plies    2.8s  (79/300)
  [w1]  #74   *       ply cap (600)                       600 plies   25.5s  (80/300)
  [w3]  #84   0-1     Party extinct                       286 plies   12.3s  (81/300)
  [w0]  #85   0-1     Party extinct                       276 plies   11.9s  (82/300)
  [w1]  #78   0-1     Party extinct                       198 plies    8.7s  (83/300)
  [w0]  #89   0-1     Party extinct                       178 plies    7.8s  (84/300)
  [w3]  #88   1-0     Treasure checkmated or captured     249 plies   10.8s  (85/300)
  [w2]  #83   *       ply cap (600)                       600 plies   25.4s  (86/300)
  [w3]  #92   0-1     Party extinct                       190 plies    8.3s  (87/300)
  [w2]  #87   0-1     Party extinct                       170 plies    7.4s  (88/300)
  [w0]  #93   0-1     Party extinct                       322 plies   13.9s  (89/300)
  [w2]  #91   0-1     Party extinct                       158 plies    7.0s  (90/300)
  [w3]  #96   1-0     Treasure checkmated or captured     181 plies    8.0s  (91/300)
  [w3]  #100  0-1     Party has no legal response          96 plies    4.4s  (92/300)
  [w1]  #82   *       ply cap (600)                       600 plies   25.4s  (93/300)
  [w2]  #95   1-0     Treasure checkmated or captured     207 plies    9.0s  (94/300)
  [w3]  #104  1-0     Treasure checkmated or captured     133 plies    5.9s  (95/300)
  [w2]  #99   1-0     Treasure checkmated or captured     165 plies    7.3s  (96/300)
  [w0]  #97   *       ply cap (600)                       600 plies   25.5s  (97/300)
  [w3]  #108  1-0     Treasure checkmated or captured     311 plies   13.4s  (98/300)
  [w1]  #86   *       ply cap (600)                       600 plies   25.5s  (99/300)
  [w3]  #112  0-1     Party extinct                       166 plies    7.3s  (100/300)
  [w2]  #103  0-1     Party extinct                       352 plies   15.2s  (101/300)
  [w2]  #107  0-1     Party extinct                       248 plies   10.8s  (102/300)
  [w1]  #90   0-1     Party extinct                       286 plies   12.4s  (103/300)
  [w3]  #116  0-1     Party extinct                       294 plies   12.7s  (104/300)
  [w1]  #94   0-1     Party has no legal response          66 plies    3.1s  (105/300)
  [w2]  #111  1-0     Treasure checkmated or captured     151 plies    6.7s  (106/300)
  [w0]  #101  *       ply cap (600)                       600 plies   25.6s  (107/300)
  [w2]  #115  0-1     Party has no legal response          30 plies    1.6s  (108/300)
  [w3]  #120  0-1     Party extinct                       184 plies    8.1s  (109/300)
  [w1]  #98   0-1     Party extinct                       140 plies    6.2s  (110/300)
