Match: rule-set 'v4-mf-minion-9'  games=150  depth=6  max-plies=400  openings=150x6plies  seed=20260424  parallel=4
  [w1]  #74   0-1     Party extinct                       394 plies   17.3s  (81/150)
  [w2]  #87   1-0     Treasure checkmated or captured     361 plies   15.8s  (82/150)
  [w1]  #78   0-1     Party extinct                       134 plies    5.9s  (83/150)
  [w3]  #96   *       ply cap (400)                       400 plies   17.5s  (84/150)
  [w0]  #73   *       ply cap (400)                       400 plies   17.5s  (85/150)
  [w1]  #82   0-1     Party extinct                       170 plies    7.5s  (86/150)
  [w3]  #100  1-0     Treasure checkmated or captured     103 plies    4.5s  (87/150)
  [w2]  #91   *       ply cap (400)                       400 plies   17.5s  (88/150)
  [w1]  #86   0-1     Party extinct                       162 plies    7.1s  (89/150)
  [w0]  #77   *       ply cap (400)                       400 plies   17.5s  (90/150)
  [w3]  #104  0-1     Party extinct                       302 plies   13.3s  (91/150)
  [w2]  #95   *       ply cap (400)                       400 plies   17.5s  (92/150)
  [w3]  #108  1-0     Treasure checkmated or captured     225 plies    9.9s  (93/150)
  [w1]  #90   *       ply cap (400)                       400 plies   17.5s  (94/150)
  [w0]  #81   *       ply cap (400)                       400 plies   17.5s  (95/150)
  [w3]  #112  1-0     Treasure checkmated or captured     327 plies   14.4s  (96/150)
  [w2]  #99   *       ply cap (400)                       400 plies   17.5s  (97/150)
  [w1]  #94   *       ply cap (400)                       400 plies   17.5s  (98/150)
  [w2]  #103  1-0     Treasure checkmated or captured      39 plies    1.7s  (99/150)
  [w0]  #85   *       ply cap (400)                       400 plies   17.5s  (100/150)
  [w2]  #107  1-0     Treasure checkmated or captured     153 plies    6.7s  (101/150)
  [w3]  #116  1-0     Treasure checkmated or captured     297 plies   13.0s  (102/150)
  [w1]  #98   *       ply cap (400)                       400 plies   17.5s  (103/150)
  [w3]  #120  0-1     Party extinct                       228 plies   10.0s  (104/150)
  [w0]  #89   *       ply cap (400)                       400 plies   17.5s  (105/150)
  [w2]  #111  *       ply cap (400)                       400 plies   17.5s  (106/150)
  [w1]  #102  0-1     Party extinct                       382 plies   16.8s  (107/150)
  [w3]  #124  *       ply cap (400)                       400 plies   17.5s  (108/150)
  [w2]  #115  0-1     Party extinct                       350 plies   15.4s  (109/150)
  [w0]  #93   *       ply cap (400)                       400 plies   17.5s  (110/150)
  [w3]  #128  0-1     Party extinct                       258 plies   11.3s  (111/150)
  [w0]  #97   1-0     Treasure checkmated or captured     143 plies    6.3s  (112/150)
  [w1]  #106  *       ply cap (400)                       400 plies   17.5s  (113/150)
  [w0]  #101  0-1     Party extinct                       154 plies    6.8s  (114/150)
  [w2]  #119  *       ply cap (400)                       400 plies   17.5s  (115/150)
  [w1]  #110  0-1     Party extinct                       236 plies   10.4s  (116/150)
  [w0]  #105  1-0     Treasure checkmated or captured     189 plies    8.3s  (117/150)
  [w2]  #123  0-1     Party extinct                       172 plies    7.6s  (118/150)
  [w3]  #132  *       ply cap (400)                       400 plies   17.5s  (119/150)
  [w3]  #136  1-0     Treasure checkmated or captured     147 plies    6.5s  (120/150)
  [w2]  #127  0-1     Party extinct                       202 plies    8.9s  (121/150)
  [w1]  #114  *       ply cap (400)                       400 plies   17.5s  (122/150)
  [w0]  #109  *       ply cap (400)                       400 plies   17.5s  (123/150)
  [w3]  #140  1-0     Treasure checkmated or captured     299 plies   13.1s  (124/150)
  [w2]  #131  0-1     Party extinct                       272 plies   11.9s  (125/150)
  [w0]  #113  1-0     Treasure checkmated or captured     371 plies   16.3s  (126/150)
  [w1]  #118  *       ply cap (400)                       400 plies   17.6s  (127/150)
  [w0]  #117  0-1     Party extinct                       114 plies    5.0s  (128/150)
  [w3]  #144  *       ply cap (400)                       400 plies   17.5s  (129/150)
  [w2]  #135  *       ply cap (400)                       400 plies   17.5s  (130/150)
  [w1]  #122  *       ply cap (400)                       400 plies   17.5s  (131/150)
  [w0]  #121  *       ply cap (400)                       400 plies   17.5s  (132/150)
  [w3]  #148  *       ply cap (400)                       400 plies   17.5s  (133/150)
  [w1]  #126  0-1     Party extinct                       126 plies    5.5s  (134/150)
  [w2]  #139  *       ply cap (400)                       400 plies   17.5s  (135/150)
  [w2]  #143  0-1     Party extinct                       300 plies   13.1s  (136/150)
  [w0]  #125  *       ply cap (400)                       400 plies   17.5s  (137/150)
  [w1]  #130  *       ply cap (400)                       400 plies   17.5s  (138/150)
  [w2]  #147  0-1     Party extinct                       172 plies    7.6s  (139/150)
  [w0]  #129  *       ply cap (400)                       400 plies   17.6s  (140/150)
  [w1]  #134  *       ply cap (400)                       400 plies   17.6s  (141/150)
  [w0]  #133  *       ply cap (400)                       400 plies   17.5s  (142/150)
  [w1]  #138  *       ply cap (400)                       400 plies   17.5s  (143/150)
  [w1]  #142  0-1     Party extinct                       158 plies    6.9s  (144/150)
  [w0]  #137  *       ply cap (400)                       400 plies   17.5s  (145/150)
  [w1]  #146  *       ply cap (400)                       400 plies   17.5s  (146/150)
  [w0]  #141  1-0     Treasure checkmated or captured     331 plies   14.5s  (147/150)
  [w1]  #150  *       ply cap (400)                       400 plies   17.5s  (148/150)
  [w0]  #145  *       ply cap (400)                       400 plies   17.5s  (149/150)
  [w0]  #149  1-0     Treasure checkmated or captured     153 plies    6.7s  (150/150)

========================================================
  Rule set    : v4-mf-minion-9
  Games       : 150
--------------------------------------------------------
  Party wins  :   32  ( 21.3%)
  Horde wins  :   41  ( 27.3%)
  Unfinished  :   77  ( 51.3%)
--------------------------------------------------------
  Decisive      :  48.7%
  Party(decisive):  43.8%   95% CI [ 33.0% ..  55.2%]
  Imbalance     :  12.3%   (0% = perfectly balanced decisive games)
  Median plies  : 190  (decisive games)

  COMPOSITE SCORE : 0.427   (1.0 = balanced & decisive)
========================================================
  total time : 564.4s  (3.76s / game, 4x)
  pgn        : reports/v4-overnight/match-v4-mf-minion-9.pgn
