Match: rule-set 'v4-mf-artillery-range'  games=150  depth=6  max-plies=400  openings=150x6plies  seed=20260424  parallel=4
  variants : /var/folders/gb/ns03xtr53539qh0kc35fzv8dxfq40g/T/yes-hybrid/variants-v4-mf-artillery-range-98445-53873c240a27409794b9a9d9f021c577.ini
  startFen : 4abtba3/2mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 150 distinct (requested 150)
  [w1]  #78   *       ply cap (400)                       400 plies   17.5s  (80/150)
  [w2]  #83   *       ply cap (400)                       400 plies   17.5s  (81/150)
  [w0]  #77   1-0     Treasure checkmated or captured     117 plies    5.2s  (82/150)
  [w3]  #88   1-0     Treasure checkmated or captured     305 plies   13.4s  (83/150)
  [w1]  #82   *       ply cap (400)                       400 plies   17.5s  (84/150)
  [w2]  #87   *       ply cap (400)                       400 plies   17.5s  (85/150)
  [w1]  #86   1-0     Treasure checkmated or captured      55 plies    2.4s  (86/150)
  [w0]  #81   *       ply cap (400)                       400 plies   17.5s  (87/150)
  [w3]  #92   *       ply cap (400)                       400 plies   17.5s  (88/150)
  [w1]  #90   1-0     Treasure checkmated or captured     177 plies    7.8s  (89/150)
  [w0]  #85   0-1     Party extinct                       260 plies   11.4s  (90/150)
  [w2]  #91   *       ply cap (400)                       400 plies   17.5s  (91/150)
  [w0]  #89   1-0     Treasure checkmated or captured     153 plies    6.7s  (92/150)
  [w0]  #93   1-0     Treasure checkmated or captured      65 plies    2.9s  (93/150)
  [w3]  #96   *       ply cap (400)                       400 plies   17.5s  (94/150)
  [w1]  #94   1-0     Treasure checkmated or captured     377 plies   16.5s  (95/150)
  [w3]  #100  0-1     Party extinct                       186 plies    8.2s  (96/150)
  [w2]  #95   *       ply cap (400)                       400 plies   17.5s  (97/150)
  [w2]  #99   1-0     Treasure checkmated or captured      59 plies    2.6s  (98/150)
  [w0]  #97   *       ply cap (400)                       400 plies   17.5s  (99/150)
  [w1]  #98   *       ply cap (400)                       400 plies   17.5s  (100/150)
  [w0]  #101  0-1     Party extinct                       206 plies    9.1s  (101/150)
  [w3]  #104  *       ply cap (400)                       400 plies   17.5s  (102/150)
  [w0]  #105  1-0     Treasure checkmated or captured     105 plies    4.6s  (103/150)
  [w2]  #103  *       ply cap (400)                       400 plies   17.6s  (104/150)
  [w2]  #107  1-0     Treasure checkmated or captured      75 plies    3.3s  (105/150)
  [w1]  #102  *       ply cap (400)                       400 plies   17.6s  (106/150)
  [w3]  #108  *       ply cap (400)                       400 plies   17.5s  (107/150)
  [w0]  #109  *       ply cap (400)                       400 plies   17.5s  (108/150)
  [w2]  #111  *       ply cap (400)                       400 plies   17.5s  (109/150)
  [w1]  #106  *       ply cap (400)                       400 plies   17.5s  (110/150)
  [w3]  #112  0-1     Party extinct                       224 plies    9.8s  (111/150)
  [w1]  #110  1-0     Treasure checkmated or captured     129 plies    5.6s  (112/150)
  [w2]  #115  0-1     Party extinct                       234 plies   10.2s  (113/150)
  [w3]  #116  0-1     Party extinct                       208 plies    9.1s  (114/150)
  [w2]  #119  0-1     Party extinct                        52 plies    2.3s  (115/150)
  [w0]  #113  *       ply cap (400)                       400 plies   17.5s  (116/150)
  [w2]  #123  0-1     Party extinct                       110 plies    4.9s  (117/150)
  [w1]  #114  *       ply cap (400)                       400 plies   17.5s  (118/150)
  [w1]  #118  1-0     Treasure checkmated or captured      87 plies    3.8s  (119/150)
  [w3]  #120  *       ply cap (400)                       400 plies   17.5s  (120/150)
  [w0]  #117  *       ply cap (400)                       400 plies   17.5s  (121/150)
  [w2]  #127  *       ply cap (400)                       400 plies   17.5s  (122/150)
  [w2]  #131  1-0     Treasure checkmated or captured     171 plies    7.5s  (123/150)
  [w1]  #122  *       ply cap (400)                       400 plies   17.6s  (124/150)
  [w3]  #124  *       ply cap (400)                       400 plies   17.6s  (125/150)
  [w0]  #121  *       ply cap (400)                       400 plies   17.6s  (126/150)
  [w1]  #126  1-0     Treasure checkmated or captured     101 plies    4.5s  (127/150)
  [w2]  #135  *       ply cap (400)                       400 plies   17.6s  (128/150)
  [w3]  #128  1-0     Treasure checkmated or captured     381 plies   16.7s  (129/150)
  [w0]  #125  *       ply cap (400)                       400 plies   17.5s  (130/150)
  [w1]  #130  *       ply cap (400)                       400 plies   17.5s  (131/150)
  [w2]  #139  1-0     Treasure checkmated or captured     259 plies   11.4s  (132/150)
  [w1]  #134  0-1     Party extinct                       146 plies    6.4s  (133/150)
  [w3]  #132  *       ply cap (400)                       400 plies   17.5s  (134/150)
  [w0]  #129  *       ply cap (400)                       400 plies   17.5s  (135/150)
  [w2]  #143  *       ply cap (400)                       400 plies   17.5s  (136/150)
  [w1]  #138  *       ply cap (400)                       400 plies   17.5s  (137/150)
  [w3]  #136  0-1     Party extinct                       310 plies   13.6s  (138/150)
  [w1]  #142  1-0     Treasure checkmated or captured     121 plies    5.3s  (139/150)
  [w0]  #133  *       ply cap (400)                       400 plies   17.5s  (140/150)
  [w3]  #140  1-0     Treasure checkmated or captured     155 plies    6.8s  (141/150)
  [w0]  #137  1-0     Treasure checkmated or captured     119 plies    5.2s  (142/150)
  [w2]  #147  *       ply cap (400)                       400 plies   17.5s  (143/150)
  [w1]  #146  0-1     Party extinct                       224 plies    9.9s  (144/150)
  [w3]  #144  0-1     Party extinct                       160 plies    7.0s  (145/150)
  [w0]  #141  *       ply cap (400)                       400 plies   17.5s  (146/150)
  [w1]  #150  *       ply cap (400)                       400 plies   17.5s  (147/150)
  [w3]  #148  *       ply cap (400)                       400 plies   17.5s  (148/150)
  [w0]  #145  *       ply cap (400)                       400 plies   17.5s  (149/150)
  [w0]  #149  1-0     Treasure checkmated or captured      71 plies    3.1s  (150/150)

========================================================
  Rule set    : v4-mf-artillery-range
  Games       : 150
--------------------------------------------------------
  Party wins  :   46  ( 30.7%)
  Horde wins  :   24  ( 16.0%)
  Unfinished  :   80  ( 53.3%)
--------------------------------------------------------
  Decisive      :  46.7%
  Party(decisive):  65.7%   95% CI [ 54.0% ..  75.8%]
  Imbalance     :  31.4%   (0% = perfectly balanced decisive games)
  Median plies  : 160  (decisive games)

  COMPOSITE SCORE : 0.320   (1.0 = balanced & decisive)
========================================================
  total time : 504.3s  (3.36s / game, 4x)
  pgn        : reports/v4-overnight/match-v4-mf-artillery-range.pgn
