Match: rule-set 'v4-mf-striker-range'  games=150  depth=6  max-plies=400  openings=150x6plies  seed=20260424  parallel=4
  variants : /var/folders/gb/ns03xtr53539qh0kc35fzv8dxfq40g/T/yes-hybrid/variants-v4-mf-striker-range-98445-10cbc8b00ba24056b1884fb544283903.ini
  startFen : 4abtba3/2mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 150 distinct (requested 150)
  [w3]  #80   *       ply cap (400)                       400 plies   17.5s  (79/150)
  [w0]  #73   0-1     Party extinct                       248 plies   10.9s  (80/150)
  [w3]  #84   1-0     Treasure checkmated or captured     205 plies    9.0s  (81/150)
  [w2]  #79   *       ply cap (400)                       400 plies   17.5s  (82/150)
  [w2]  #83   1-0     Treasure checkmated or captured      11 plies    0.5s  (83/150)
  [w1]  #90   *       ply cap (400)                       400 plies   17.5s  (84/150)
  [w3]  #88   1-0     Treasure checkmated or captured     201 plies    8.8s  (85/150)
  [w0]  #77   *       ply cap (400)                       400 plies   17.5s  (86/150)
  [w2]  #87   *       ply cap (400)                       400 plies   17.5s  (87/150)
  [w0]  #81   1-0     Treasure checkmated or captured     201 plies    8.8s  (88/150)
  [w3]  #92   0-1     Party extinct                       284 plies   12.5s  (89/150)
  [w1]  #94   0-1     Party extinct                       334 plies   14.7s  (90/150)
  [w0]  #85   1-0     Treasure checkmated or captured      83 plies    3.7s  (91/150)
  [w0]  #89   1-0     Treasure checkmated or captured      95 plies    4.2s  (92/150)
  [w0]  #93   1-0     Treasure checkmated or captured     111 plies    4.9s  (93/150)
  [w2]  #91   *       ply cap (400)                       400 plies   17.5s  (94/150)
  [w3]  #96   *       ply cap (400)                       400 plies   17.5s  (95/150)
  [w0]  #97   1-0     Treasure checkmated or captured     159 plies    7.0s  (96/150)
  [w1]  #98   *       ply cap (400)                       400 plies   17.5s  (97/150)
  [w0]  #101  1-0     Treasure checkmated or captured      51 plies    2.3s  (98/150)
  [w3]  #100  1-0     Treasure checkmated or captured     159 plies    7.0s  (99/150)
  [w1]  #102  1-0     Treasure checkmated or captured     217 plies    9.5s  (100/150)
  [w2]  #95   *       ply cap (400)                       400 plies   17.6s  (101/150)
  [w0]  #105  1-0     Treasure checkmated or captured     305 plies   13.4s  (102/150)
  [w2]  #99   0-1     Party extinct                       142 plies    6.2s  (103/150)
  [w3]  #104  *       ply cap (400)                       400 plies   17.5s  (104/150)
  [w1]  #106  *       ply cap (400)                       400 plies   17.5s  (105/150)
  [w0]  #109  *       ply cap (400)                       400 plies   17.5s  (106/150)
  [w2]  #103  1-0     Treasure checkmated or captured     347 plies   15.2s  (107/150)
  [w3]  #108  1-0     Treasure checkmated or captured     261 plies   11.4s  (108/150)
  [w1]  #110  0-1     Party extinct                       248 plies   10.9s  (109/150)
  [w1]  #114  1-0     Treasure checkmated or captured     177 plies    7.8s  (110/150)
  [w1]  #118  0-1     Party extinct                        64 plies    2.8s  (111/150)
  [w0]  #113  *       ply cap (400)                       400 plies   17.5s  (112/150)
  [w2]  #107  *       ply cap (400)                       400 plies   17.5s  (113/150)
  [w3]  #112  *       ply cap (400)                       400 plies   17.5s  (114/150)
  [w0]  #117  1-0     Treasure checkmated or captured     165 plies    7.3s  (115/150)
  [w1]  #122  1-0     Treasure checkmated or captured     221 plies    9.7s  (116/150)
  [w1]  #126  1-0     Treasure checkmated or captured     113 plies    5.0s  (117/150)
  [w2]  #111  *       ply cap (400)                       400 plies   17.5s  (118/150)
  [w3]  #116  *       ply cap (400)                       400 plies   17.5s  (119/150)
  [w0]  #121  *       ply cap (400)                       400 plies   17.5s  (120/150)
  [w3]  #120  0-1     Party extinct                       164 plies    7.2s  (121/150)
  [w1]  #130  *       ply cap (400)                       400 plies   17.5s  (122/150)
  [w2]  #115  0-1     Party extinct                       306 plies   13.4s  (123/150)
  [w1]  #134  1-0     Treasure checkmated or captured     159 plies    7.0s  (124/150)
  [w3]  #124  1-0     Treasure checkmated or captured     253 plies   11.1s  (125/150)
  [w0]  #125  0-1     Party extinct                       332 plies   14.6s  (126/150)
  [w0]  #129  0-1     Party extinct                        98 plies    4.3s  (127/150)
  [w2]  #119  1-0     Treasure checkmated or captured     305 plies   13.4s  (128/150)
  [w0]  #133  1-0     Treasure checkmated or captured     187 plies    8.2s  (129/150)
  [w1]  #138  1-0     Treasure checkmated or captured     381 plies   16.7s  (130/150)
  [w3]  #128  *       ply cap (400)                       400 plies   17.5s  (131/150)
  [w1]  #142  1-0     Treasure checkmated or captured      75 plies    3.3s  (132/150)
  [w2]  #123  *       ply cap (400)                       400 plies   17.5s  (133/150)
  [w2]  #127  1-0     Treasure checkmated or captured      85 plies    3.8s  (134/150)
  [w1]  #146  1-0     Treasure checkmated or captured     243 plies   10.7s  (135/150)
  [w0]  #137  *       ply cap (400)                       400 plies   17.5s  (136/150)
  [w2]  #131  0-1     Party extinct                        98 plies    4.3s  (137/150)
  [w3]  #132  *       ply cap (400)                       400 plies   17.6s  (138/150)
  [w2]  #135  1-0     Treasure checkmated or captured     125 plies    5.5s  (139/150)
  [w0]  #141  0-1     Party extinct                       270 plies   11.9s  (140/150)
  [w3]  #136  0-1     Party extinct                       278 plies   12.2s  (141/150)
  [w1]  #150  *       ply cap (400)                       400 plies   17.5s  (142/150)
  [w0]  #145  0-1     Party extinct                       130 plies    5.7s  (143/150)
  [w0]  #149  1-0     Treasure checkmated or captured      69 plies    3.1s  (144/150)
  [w3]  #140  1-0     Treasure checkmated or captured     181 plies    8.0s  (145/150)
  [w2]  #139  *       ply cap (400)                       400 plies   17.5s  (146/150)
  [w3]  #144  *       ply cap (400)                       400 plies   17.5s  (147/150)
  [w2]  #143  *       ply cap (400)                       400 plies   17.5s  (148/150)
  [w3]  #148  1-0     Treasure checkmated or captured      41 plies    1.8s  (149/150)
  [w2]  #147  0-1     Party extinct                        96 plies    4.2s  (150/150)

========================================================
  Rule set    : v4-mf-striker-range
  Games       : 150
--------------------------------------------------------
  Party wins  :   59  ( 39.3%)
  Horde wins  :   28  ( 18.7%)
  Unfinished  :   63  ( 42.0%)
--------------------------------------------------------
  Decisive      :  58.0%
  Party(decisive):  67.8%   95% CI [ 57.4% ..  76.7%]
  Imbalance     :  35.6%   (0% = perfectly balanced decisive games)
  Median plies  : 167  (decisive games)

  COMPOSITE SCORE : 0.373   (1.0 = balanced & decisive)
========================================================
  total time : 471.6s  (3.14s / game, 4x)
  pgn        : reports/v4-overnight/match-v4-mf-striker-range.pgn
