Match: rule-set 'v3-mc-denser-horde'  games=150  depth=6  openings=150x6plies  seed=20260423  parallel=4
  variants : /var/folders/gb/ns03xtr53539qh0kc35fzv8dxfq40g/T/yes-hybrid/variants-v3-mc-denser-horde-89986-f7bb46bdd2234c82a76dc2e29f863099.ini
  startFen : 4abtba3/1mmubmbummm1/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 150 distinct (requested 150)

  [w2]  #79   *       ply cap (400)                       400 plies   17.5s  (82/150)
  [w0]  #81   0-1     Party extinct                       344 plies   15.1s  (83/150)
  [w3]  #96   0-1     Party extinct                       298 plies   13.1s  (84/150)
  [w1]  #78   *       ply cap (400)                       400 plies   17.6s  (85/150)
  [w3]  #100  1-0     Treasure checkmated or captured     191 plies    8.4s  (86/150)
  [w2]  #83   *       ply cap (400)                       400 plies   17.6s  (87/150)
  [w0]  #85   1-0     Treasure checkmated or captured     305 plies   13.4s  (88/150)
  [w1]  #82   *       ply cap (400)                       400 plies   17.5s  (89/150)
  [w0]  #89   0-1     Party extinct                       196 plies    8.6s  (90/150)
  [w3]  #104  *       ply cap (400)                       400 plies   17.5s  (91/150)
  [w2]  #87   *       ply cap (400)                       400 plies   17.5s  (92/150)
  [w1]  #86   *       ply cap (400)                       400 plies   17.5s  (93/150)
  [w0]  #93   *       ply cap (400)                       400 plies   17.5s  (94/150)
  [w3]  #108  *       ply cap (400)                       400 plies   17.6s  (95/150)
  [w2]  #91   0-1     Party extinct                       388 plies   17.1s  (96/150)
  [w1]  #90   *       ply cap (400)                       400 plies   17.6s  (97/150)
  [w0]  #97   *       ply cap (400)                       400 plies   17.6s  (98/150)
  [w2]  #95   0-1     Party extinct                       246 plies   10.8s  (99/150)
  [w3]  #112  *       ply cap (400)                       400 plies   17.5s  (100/150)
  [w0]  #101  0-1     Party extinct                       154 plies    6.8s  (101/150)
  [w1]  #94   *       ply cap (400)                       400 plies   17.5s  (102/150)
  [w2]  #99   *       ply cap (400)                       400 plies   17.5s  (103/150)
  [w3]  #116  0-1     Party extinct                       386 plies   16.9s  (104/150)
  [w0]  #105  *       ply cap (400)                       400 plies   17.5s  (105/150)
  [w0]  #109  1-0     Treasure checkmated or captured       1 plies    0.1s  (106/150)
  [w2]  #103  0-1     Party extinct                       256 plies   11.3s  (107/150)
  [w3]  #120  1-0     Treasure checkmated or captured     205 plies    9.0s  (108/150)
  [w1]  #98   *       ply cap (400)                       400 plies   17.6s  (109/150)
  [w1]  #102  1-0     Treasure checkmated or captured      41 plies    1.8s  (110/150)
  [w0]  #113  1-0     Treasure checkmated or captured     239 plies   10.5s  (111/150)
  [w3]  #124  0-1     Party extinct                       146 plies    6.4s  (112/150)
  [w0]  #117  0-1     Party extinct                        90 plies    4.0s  (113/150)
  [w2]  #107  *       ply cap (400)                       400 plies   17.5s  (114/150)
  [w1]  #106  *       ply cap (400)                       400 plies   17.5s  (115/150)
  [w3]  #128  *       ply cap (400)                       400 plies   17.5s  (116/150)
  [w1]  #110  1-0     Treasure checkmated or captured      75 plies    3.3s  (117/150)
  [w0]  #121  *       ply cap (400)                       400 plies   17.5s  (118/150)
  [w2]  #111  0-1     Party extinct                       304 plies   13.4s  (119/150)
  [w3]  #132  0-1     Party extinct                       250 plies   11.0s  (120/150)
  [w1]  #114  *       ply cap (400)                       400 plies   17.6s  (121/150)
  [w3]  #136  1-0     Treasure checkmated or captured     159 plies    7.0s  (122/150)
  [w0]  #125  *       ply cap (400)                       400 plies   17.6s  (123/150)
  [w3]  #140  1-0     Treasure checkmated or captured      77 plies    3.4s  (124/150)
  [w2]  #115  *       ply cap (400)                       400 plies   17.6s  (125/150)
  [w0]  #129  0-1     Party extinct                       300 plies   14.0s  (126/150)
  [w1]  #118  *       ply cap (400)                       400 plies   18.4s  (127/150)
  [w3]  #144  *       ply cap (400)                       400 plies   18.4s  (128/150)
  [w2]  #119  *       ply cap (400)                       400 plies   18.4s  (129/150)
  [w1]  #122  0-1     Party extinct                       266 plies   11.7s  (130/150)
  [w3]  #148  0-1     Party extinct                       188 plies    8.3s  (131/150)
  [w0]  #133  *       ply cap (400)                       400 plies   17.5s  (132/150)
  [w1]  #126  0-1     Party extinct                       202 plies    8.9s  (133/150)
  [w2]  #123  *       ply cap (400)                       400 plies   17.5s  (134/150)
  [w1]  #130  1-0     Treasure checkmated or captured     187 plies    8.2s  (135/150)
  [w0]  #137  *       ply cap (400)                       400 plies   17.5s  (136/150)
  [w1]  #134  1-0     Treasure checkmated or captured     135 plies    5.9s  (137/150)
  [w2]  #127  0-1     Party extinct                       320 plies   14.0s  (138/150)
  [w0]  #141  0-1     Party extinct                       230 plies   10.1s  (139/150)
  [w1]  #138  0-1     Party extinct                       230 plies   10.1s  (140/150)
  [w2]  #131  0-1     Party extinct                       176 plies    7.7s  (141/150)
  [w2]  #135  1-0     Treasure checkmated or captured      17 plies    0.8s  (142/150)
  [w1]  #142  0-1     Party extinct                       186 plies    8.2s  (143/150)
  [w0]  #145  *       ply cap (400)                       400 plies   17.6s  (144/150)
  [w2]  #139  *       ply cap (400)                       400 plies   17.6s  (145/150)
  [w1]  #146  *       ply cap (400)                       400 plies   17.5s  (146/150)
  [w1]  #150  1-0     Treasure checkmated or captured     113 plies    5.0s  (147/150)
  [w0]  #149  *       ply cap (400)                       400 plies   17.5s  (148/150)
  [w2]  #143  *       ply cap (400)                       400 plies   17.5s  (149/150)
  [w2]  #147  *       ply cap (400)                       400 plies   17.5s  (150/150)

========================================================
  Rule set    : v3-mc-denser-horde
  Games       : 150
--------------------------------------------------------
  Party wins  :   25  ( 16.7%)
  Horde wins  :   51  ( 34.0%)
  Unfinished  :   74  ( 49.3%)
--------------------------------------------------------
  Decisive      :  50.7%
  Party(decisive):  32.9%   95% CI [ 23.4% ..  44.1%]
  Imbalance     :  34.2%   (0% = perfectly balanced decisive games)
  Median plies  : 205  (decisive games)

  COMPOSITE SCORE : 0.333   (1.0 = balanced & decisive)
========================================================
  total time : 539.4s  (3.60s / game, 4x)
  pgn        : reports/v3-overnight/match-v3-mc-denser-horde.pgn
