Match: rule-set 'v7f-d8-remove-a-no-leader'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260503  parallel=4
  [w2]  #87   *       ply cap (600)                       600 plies   25.6s  (80/300)
  [w3]  #52   0-1     Party extinct                       366 plies   15.7s  (81/300)
  [w0]  #101  *       ply cap (600)                       600 plies   25.5s  (82/300)
  [w1]  #86   *       ply cap (600)                       600 plies   25.5s  (83/300)
  [w2]  #91   *       ply cap (600)                       600 plies   25.5s  (84/300)
  [w3]  #56   *       ply cap (600)                       600 plies   25.5s  (85/300)
  [w0]  #105  *       ply cap (600)                       600 plies   25.5s  (86/300)
  [w1]  #90   *       ply cap (600)                       600 plies   25.5s  (87/300)
  [w2]  #95   *       ply cap (600)                       600 plies   25.5s  (88/300)
  [w0]  #109  0-1     Party extinct                       356 plies   15.3s  (89/300)
  [w3]  #60   *       ply cap (600)                       600 plies   25.5s  (90/300)
  [w1]  #94   1-0     Treasure checkmated or captured     521 plies   22.2s  (91/300)
  [w3]  #64   1-0     Treasure checkmated or captured     195 plies    8.5s  (92/300)
  [w2]  #99   *       ply cap (600)                       600 plies   25.5s  (93/300)
  [w0]  #113  1-0     Treasure checkmated or captured     359 plies   15.4s  (94/300)
  [w0]  #117  1-0     Treasure checkmated or captured     119 plies    5.4s  (95/300)
  [w3]  #68   0-1     Party extinct                       354 plies   15.2s  (96/300)
  [w3]  #72   0-1     Party has no legal response          94 plies    4.3s  (97/300)
  [w1]  #98   *       ply cap (600)                       600 plies   25.5s  (98/300)
  [w1]  #102  1-0     Treasure checkmated or captured      43 plies    2.1s  (99/300)
  [w2]  #103  *       ply cap (600)                       600 plies   25.5s  (100/300)
  [w1]  #106  0-1     Party extinct                       162 plies    7.1s  (101/300)
  [w0]  #121  *       ply cap (600)                       600 plies   25.5s  (102/300)
  [w0]  #125  0-1     Party extinct                       142 plies    6.3s  (103/300)
  [w3]  #76   *       ply cap (600)                       600 plies   25.5s  (104/300)
  [w3]  #80   1-0     Treasure checkmated or captured      81 plies    3.8s  (105/300)
  [w1]  #110  0-1     Party extinct                       394 plies   16.9s  (106/300)
  [w1]  #114  0-1     Party extinct                       112 plies    5.0s  (107/300)
  [w2]  #107  *       ply cap (600)                       600 plies   25.5s  (108/300)
  [w0]  #129  *       ply cap (600)                       600 plies   25.5s  (109/300)
  [w3]  #84   0-1     Party extinct                       492 plies   21.0s  (110/300)
  [w1]  #118  0-1     Party extinct                       438 plies   18.8s  (111/300)
  [w2]  #111  *       ply cap (600)                       600 plies   25.5s  (112/300)
  [w1]  #122  1-0     Treasure checkmated or captured     253 plies   11.0s  (113/300)
  [w1]  #126  0-1     Party has no legal response          98 plies    4.5s  (114/300)
  [w0]  #133  *       ply cap (600)                       600 plies   25.5s  (115/300)
  [w3]  #88   *       ply cap (600)                       600 plies   25.5s  (116/300)
  [w1]  #130  1-0     Treasure checkmated or captured     165 plies    7.3s  (117/300)
  [w2]  #115  *       ply cap (600)                       600 plies   25.5s  (118/300)
  [w0]  #137  *       ply cap (600)                       600 plies   25.5s  (119/300)
  [w2]  #119  1-0     Treasure checkmated or captured     305 plies   13.2s  (120/300)
  [w3]  #92   *       ply cap (600)                       600 plies   25.5s  (121/300)
  [w1]  #134  *       ply cap (600)                       600 plies   25.5s  (122/300)
  [w2]  #123  0-1     Party extinct                       190 plies    8.3s  (123/300)
  [w3]  #96   1-0     Treasure checkmated or captured     217 plies    9.4s  (124/300)
  [w3]  #100  0-1     Party has no legal response          64 plies    3.0s  (125/300)
  [w0]  #141  *       ply cap (600)                       600 plies   25.5s  (126/300)
  [w1]  #138  *       ply cap (600)                       600 plies   25.7s  (127/300)
  [w2]  #127  *       ply cap (600)                       600 plies   25.5s  (128/300)
  [w3]  #104  *       ply cap (600)                       600 plies   25.5s  (129/300)
  [w2]  #131  1-0     Treasure checkmated or captured     161 plies    7.1s  (130/300)
  [w0]  #145  1-0     Treasure checkmated or captured     487 plies   20.8s  (131/300)
  [w2]  #135  0-1     Party has no legal response         202 plies    8.8s  (132/300)
  [w3]  #108  1-0     Treasure checkmated or captured     281 plies   12.1s  (133/300)
  [w1]  #142  *       ply cap (600)                       600 plies   25.5s  (134/300)
  [w2]  #139  0-1     Party extinct                       236 plies   10.2s  (135/300)
  [w1]  #146  0-1     Party extinct                       212 plies    9.2s  (136/300)
  [w0]  #149  *       ply cap (600)                       600 plies   25.6s  (137/300)
  [w3]  #112  *       ply cap (600)                       600 plies   25.5s  (138/300)
  [w2]  #143  1-0     Treasure checkmated or captured     537 plies   23.0s  (139/300)
  [w2]  #147  0-1     Party extinct                        70 plies    3.3s  (140/300)
  [w1]  #150  *       ply cap (600)                       600 plies   25.5s  (141/300)
  [w2]  #151  1-0     Treasure checkmated or captured     157 plies    6.9s  (142/300)
  [w0]  #153  *       ply cap (600)                       600 plies   25.6s  (143/300)
  [w3]  #116  *       ply cap (600)                       600 plies   25.5s  (144/300)
  [w0]  #157  0-1     Party extinct                       174 plies    7.7s  (145/300)
  [w1]  #154  *       ply cap (600)                       600 plies   25.5s  (146/300)
  [w2]  #155  *       ply cap (600)                       600 plies   25.5s  (147/300)
  [w3]  #120  0-1     Party extinct                       404 plies   17.3s  (148/300)
  [w1]  #158  0-1     Party has no legal response         158 plies    7.0s  (149/300)
  [w0]  #161  *       ply cap (600)                       600 plies   25.6s  (150/300)
  [w2]  #159  1-0     Treasure checkmated or captured     309 plies   13.3s  (151/300)
  [w0]  #165  1-0     Treasure checkmated or captured     147 plies    6.5s  (152/300)
  [w1]  #162  0-1     Party extinct                       440 plies   18.8s  (153/300)
  [w3]  #124  1-0     Treasure checkmated or captured     525 plies   22.4s  (154/300)
  [w0]  #169  0-1     Party extinct                       258 plies   11.2s  (155/300)
  [w2]  #163  *       ply cap (600)                       600 plies   25.5s  (156/300)
  [w1]  #166  *       ply cap (600)                       600 plies   25.5s  (157/300)
  [w2]  #167  0-1     Party extinct                       186 plies    8.1s  (158/300)
  [w3]  #128  *       ply cap (600)                       600 plies   25.5s  (159/300)
  [w0]  #173  *       ply cap (600)                       600 plies   25.5s  (160/300)
  [w2]  #171  1-0     Treasure checkmated or captured     261 plies   11.4s  (161/300)
  [w1]  #170  *       ply cap (600)                       600 plies   25.6s  (162/300)
  [w3]  #132  *       ply cap (600)                       600 plies   25.5s  (163/300)
  [w0]  #177  *       ply cap (600)                       600 plies   25.5s  (164/300)
  [w2]  #175  *       ply cap (600)                       600 plies   25.5s  (165/300)
  [w1]  #174  1-0     Treasure checkmated or captured     421 plies   18.1s  (166/300)
  [w3]  #136  *       ply cap (600)                       600 plies   25.5s  (167/300)
  [w2]  #179  1-0     Treasure checkmated or captured     371 plies   15.9s  (168/300)
  [w0]  #181  *       ply cap (600)                       600 plies   25.5s  (169/300)
  [w0]  #185  1-0     Treasure checkmated or captured     175 plies    7.7s  (170/300)
  [w3]  #140  0-1     Party extinct                       368 plies   15.8s  (171/300)
  [w1]  #178  *       ply cap (600)                       600 plies   25.5s  (172/300)
  [w2]  #183  *       ply cap (600)                       600 plies   25.5s  (173/300)
  [w3]  #144  0-1     Party extinct                       238 plies   10.3s  (174/300)
  [w1]  #182  0-1     Party extinct                       368 plies   15.8s  (175/300)
  [w2]  #187  1-0     Treasure checkmated or captured     143 plies    6.4s  (176/300)
  [w2]  #191  0-1     Party extinct                       162 plies    7.1s  (177/300)
  [w0]  #189  *       ply cap (600)                       600 plies   25.5s  (178/300)
  [w0]  #193  1-0     Treasure checkmated or captured       1 plies    0.4s  (179/300)
  [w3]  #148  *       ply cap (600)                       600 plies   25.5s  (180/300)
  [w1]  #186  *       ply cap (600)                       600 plies   25.5s  (181/300)
  [w3]  #152  1-0     Treasure checkmated or captured     227 plies    9.8s  (182/300)
  [w1]  #190  0-1     Party extinct                       124 plies    5.5s  (183/300)
  [w2]  #195  *       ply cap (600)                       600 plies   25.5s  (184/300)
  [w0]  #197  *       ply cap (600)                       600 plies   25.5s  (185/300)
  [w3]  #156  0-1     Party extinct                       118 plies    5.3s  (186/300)
  [w2]  #199  0-1     Party has no legal response         116 plies    5.2s  (187/300)
  [w0]  #201  1-0     Treasure checkmated or captured     155 plies    6.8s  (188/300)
  [w3]  #160  1-0     Treasure checkmated or captured     305 plies   13.1s  (189/300)
  [w0]  #205  0-1     Party extinct                       224 plies    9.7s  (190/300)
  [w2]  #203  1-0     Treasure checkmated or captured     377 plies   16.2s  (191/300)
  [w3]  #164  0-1     Party extinct                       180 plies    7.9s  (192/300)
  [w1]  #194  *       ply cap (600)                       600 plies   25.5s  (193/300)
  [w3]  #168  1-0     Treasure checkmated or captured     209 plies    9.1s  (194/300)
  [w3]  #172  0-1     Party extinct                       106 plies    4.8s  (195/300)
  [w0]  #209  *       ply cap (600)                       600 plies   25.5s  (196/300)
  [w2]  #207  *       ply cap (600)                       600 plies   25.5s  (197/300)
  [w1]  #198  *       ply cap (600)                       600 plies   25.5s  (198/300)
  [w0]  #213  1-0     Treasure checkmated or captured     171 plies    7.5s  (199/300)
  [w3]  #176  *       ply cap (600)                       600 plies   25.5s  (200/300)
  [w3]  #180  1-0     Treasure checkmated or captured     189 plies    8.3s  (201/300)
  [w2]  #211  *       ply cap (600)                       600 plies   25.5s  (202/300)
  [w1]  #202  *       ply cap (600)                       600 plies   25.5s  (203/300)
  [w0]  #217  *       ply cap (600)                       600 plies   25.5s  (204/300)
  [w3]  #184  1-0     Treasure checkmated or captured     171 plies    7.5s  (205/300)
  [w2]  #215  0-1     Party has no legal response         152 plies    6.7s  (206/300)
  [w2]  #219  0-1     Party has no legal response          88 plies    4.0s  (207/300)
  [w1]  #206  *       ply cap (600)                       600 plies   25.5s  (208/300)
  [w0]  #221  *       ply cap (600)                       600 plies   25.4s  (209/300)
  [w3]  #188  *       ply cap (600)                       600 plies   25.4s  (210/300)
  [w1]  #210  0-1     Party extinct                       242 plies   10.4s  (211/300)
  [w0]  #225  0-1     Party extinct                       446 plies   19.0s  (212/300)
  [w3]  #192  *       ply cap (600)                       600 plies   25.4s  (213/300)
  [w1]  #214  0-1     Party extinct                       472 plies   20.1s  (214/300)
  [w0]  #229  0-1     Party extinct                       264 plies   11.4s  (215/300)
  [w3]  #196  0-1     Party extinct                       146 plies    6.4s  (216/300)
  [w3]  #200  1-0     Treasure checkmated or captured      99 plies    4.5s  (217/300)
  [w0]  #233  1-0     Treasure checkmated or captured     225 plies    9.7s  (218/300)
  [w1]  #218  0-1     Party has no legal response         566 plies   24.0s  (219/300)
  [w1]  #222  1-0     Treasure checkmated or captured     137 plies    6.0s  (220/300)
  [w3]  #204  *       ply cap (600)                       600 plies   25.4s  (221/300)
  [w0]  #237  *       ply cap (600)                       600 plies   25.4s  (222/300)
  [w3]  #208  0-1     Party extinct                       346 plies   14.8s  (223/300)
  [w1]  #226  *       ply cap (600)                       600 plies   25.4s  (224/300)
  [w3]  #212  1-0     Treasure checkmated or captured     201 plies    8.7s  (225/300)
  [w2]  #223  *       engine timeout                      103 plies  124.6s  (226/300)
  [w1]  #230  *       ply cap (600)                       600 plies   25.4s  (227/300)
  [w3]  #216  *       ply cap (600)                       600 plies   25.5s  (228/300)
  [w1]  #234  1-0     Treasure checkmated or captured     199 plies    8.6s  (229/300)
  [w3]  #220  0-1     Party extinct                       170 plies    7.4s  (230/300)
  [w1]  #238  1-0     Treasure checkmated or captured      93 plies    4.2s  (231/300)
  [w3]  #224  0-1     Party extinct                       118 plies    5.2s  (232/300)
  [w2]  #227  *       ply cap (600)                       600 plies   25.4s  (233/300)
  [w3]  #228  1-0     Treasure checkmated or captured     261 plies   11.2s  (234/300)
  [w3]  #232  0-1     Party has no legal response         188 plies    8.4s  (235/300)
  [w1]  #242  *       ply cap (600)                       600 plies   25.7s  (236/300)
  [w2]  #231  *       ply cap (600)                       600 plies   26.1s  (237/300)
  [w3]  #236  0-1     Party extinct                       484 plies   21.4s  (238/300)
  [w2]  #235  1-0     Treasure checkmated or captured     365 plies   16.2s  (239/300)
  [w1]  #246  *       ply cap (600)                       600 plies   26.4s  (240/300)
  [w0]  #241  *       engine timeout                      102 plies  124.6s  (241/300)
  [w3]  #240  *       ply cap (600)                       600 plies   26.4s  (242/300)
  [w0]  #245  1-0     Treasure checkmated or captured     107 plies    5.0s  (243/300)
  [w3]  #244  1-0     Treasure checkmated or captured     157 plies    7.2s  (244/300)
  [w2]  #239  *       ply cap (600)                       600 plies   26.5s  (245/300)
  [w1]  #250  *       ply cap (600)                       600 plies   26.5s  (246/300)
  [w0]  #249  0-1     Party extinct                       236 plies   10.6s  (247/300)
  [w0]  #253  1-0     Treasure checkmated or captured     135 plies    6.2s  (248/300)
  [w1]  #254  1-0     Treasure checkmated or captured     415 plies   18.5s  (249/300)
  [w3]  #248  0-1     Party extinct                       524 plies   23.3s  (250/300)
  [w2]  #243  *       ply cap (600)                       600 plies   26.5s  (251/300)
  [w2]  #247  1-0     Treasure checkmated or captured     131 plies    6.1s  (252/300)
  [w1]  #258  0-1     Party extinct                       382 plies   17.0s  (253/300)
  [w0]  #257  *       ply cap (600)                       600 plies   26.5s  (254/300)
  [w3]  #252  1-0     Treasure checkmated or captured     431 plies   19.2s  (255/300)
  [w1]  #262  0-1     Party extinct                       166 plies    7.6s  (256/300)
  [w2]  #251  *       ply cap (600)                       600 plies   26.6s  (257/300)
  [w0]  #261  *       ply cap (600)                       600 plies   26.5s  (258/300)
  [w0]  #265  1-0     Treasure checkmated or captured      31 plies    1.7s  (259/300)
  [w3]  #256  *       ply cap (600)                       600 plies   26.6s  (260/300)
  [w1]  #266  *       ply cap (600)                       600 plies   26.6s  (261/300)
  [w3]  #260  0-1     Party extinct                       230 plies   10.4s  (262/300)
  [w2]  #255  *       ply cap (600)                       600 plies   26.5s  (263/300)
  [w0]  #269  0-1     Party extinct                       560 plies   24.9s  (264/300)
  [w2]  #259  0-1     Party extinct                       248 plies   11.2s  (265/300)
  [w1]  #270  *       ply cap (600)                       600 plies   26.5s  (266/300)
  [w1]  #274  1-0     Treasure checkmated or captured     113 plies    5.3s  (267/300)
  [w3]  #264  *       ply cap (600)                       600 plies   26.5s  (268/300)
  [w1]  #278  1-0     Treasure checkmated or captured     271 plies   12.2s  (269/300)
  [w0]  #273  *       ply cap (600)                       600 plies   26.5s  (270/300)
  [w2]  #263  *       ply cap (600)                       600 plies   26.6s  (271/300)
  [w1]  #282  0-1     Party extinct                       256 plies   11.5s  (272/300)
  [w3]  #268  *       ply cap (600)                       600 plies   26.5s  (273/300)
  [w0]  #277  *       ply cap (600)                       600 plies   26.6s  (274/300)
  [w2]  #267  *       ply cap (600)                       600 plies   26.6s  (275/300)
  [w0]  #281  1-0     Treasure checkmated or captured     169 plies    7.7s  (276/300)
  [w1]  #286  *       ply cap (600)                       600 plies   26.5s  (277/300)
  [w3]  #272  *       ply cap (600)                       600 plies   26.5s  (278/300)
  [w2]  #271  1-0     Treasure checkmated or captured     393 plies   17.5s  (279/300)
  [w2]  #275  1-0     Treasure checkmated or captured     233 plies   10.5s  (280/300)
  [w0]  #285  *       ply cap (600)                       600 plies   26.5s  (281/300)
  [w1]  #290  *       ply cap (600)                       600 plies   26.6s  (282/300)
  [w3]  #276  *       ply cap (600)                       600 plies   26.5s  (283/300)
  [w3]  #280  1-0     Treasure checkmated or captured     199 plies    9.0s  (284/300)
  [w2]  #279  *       ply cap (600)                       600 plies   26.5s  (285/300)
  [w0]  #289  *       ply cap (600)                       600 plies   26.4s  (286/300)
  [w3]  #284  0-1     Party extinct                       380 plies   16.9s  (287/300)
  [w0]  #293  0-1     Party extinct                       144 plies    6.6s  (288/300)
  [w2]  #283  0-1     Party extinct                       410 plies   18.2s  (289/300)
  [w3]  #288  *       ply cap (600)                       600 plies   26.4s  (290/300)
  [w0]  #297  *       ply cap (600)                       600 plies   26.5s  (291/300)
  [w2]  #287  *       ply cap (600)                       600 plies   26.4s  (292/300)
  [w2]  #291  0-1     Party has no legal response          34 plies    1.8s  (293/300)
  [w3]  #292  *       ply cap (600)                       600 plies   26.4s  (294/300)
  [w2]  #295  *       ply cap (600)                       600 plies   26.4s  (295/300)
  [w3]  #296  1-0     Treasure checkmated or captured     435 plies   19.2s  (296/300)
  [w2]  #299  *       ply cap (600)                       600 plies   26.4s  (297/300)
  [w1]  #294  *       engine timeout                       99 plies  124.6s  (298/300)
  [w3]  #300  *       ply cap (600)                       600 plies   26.5s  (299/300)
  [w1]  #298  *       ply cap (600)                       600 plies   26.5s  (300/300)

========================================================
  Rule set    : v7f-d8-remove-a-no-leader
  Games       : 300
--------------------------------------------------------
  Party wins  :   78  ( 26.0%)
  Horde wins  :   79  ( 26.3%)
  Unfinished  :  143  ( 47.7%)
--------------------------------------------------------
  Decisive      :  52.3%
  Party(decisive):  49.7%   95% CI [ 42.0% ..  57.4%]
  Imbalance     :   0.6%   (0% = perfectly balanced decisive games)
  Median plies  : 217  (decisive games)

  COMPOSITE SCORE : 0.520   (1.0 = balanced & decisive)
========================================================
  total time : 1511.3s  (5.04s / game, 4x)
  pgn        : reports/v7f-party-cut-pilot/confirm-no-leader.pgn
