rank,ruleset,games,party_wins,horde_wins,unfinished,decisive_pct,party_share_decisive_pct,imbalance_pct,composite,party_ci_lo,party_ci_hi,median_plies,elapsed_sec
1,v7d-d8-lurker-K-remove-artillery,100,49,21,30,70.0,70.0,40.0,0.420,58.5,79.5,242,473.0
2,v7d-d8-lurker-K-leader-K,100,11,29,60,40.0,27.5,45.0,0.220,16.1,42.8,215,647.5
