rank,ruleset,games,party_wins,horde_wins,unfinished,decisive_pct,party_share_decisive_pct,imbalance_pct,composite,party_ci_lo,party_ci_hi,median_plies,elapsed_sec
1,v7e-d8-remove-a-add-m-a7,100,33,20,47,53.0,62.3,24.5,0.400,48.8,74.1,189,603.6
2,v7e-d8-remove-a-add-m-j7,100,40,20,40,60.0,66.7,33.3,0.400,54.1,77.3,249,594.0
