rank,ruleset,games,party_wins,horde_wins,unfinished,decisive_pct,party_share_decisive_pct,imbalance_pct,composite,party_ci_lo,party_ci_hi,median_plies,elapsed_sec
1,v7h-d8-brute-WcK,100,23,21,56,44.0,52.3,4.5,0.420,37.9,66.2,205,570.2
2,v7h-d8-brute-3,100,53,17,30,70.0,75.7,51.4,0.340,64.5,84.2,209,473.7
