Match: rule-set 'v5-d8-striker-range'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v5-d8-striker-range-61864-63420651273245b8aa72ececc2aeaad1.ini
  startFen : 4abtba3/2mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)
  [w3]  #80   *       ply cap (600)                       600 plies   26.7s  (82/300)
  [w1]  #78   *       ply cap (600)                       600 plies   26.6s  (83/300)
  [w2]  #95   *       ply cap (600)                       600 plies   26.5s  (84/300)
  [w1]  #82   0-1     Party extinct                       198 plies    9.0s  (85/300)
  [w2]  #99   0-1     Party extinct                       184 plies    8.4s  (86/300)
  [w0]  #81   *       ply cap (600)                       600 plies   26.5s  (87/300)
  [w1]  #86   0-1     Party extinct                       180 plies    8.2s  (88/300)
  [w0]  #85   1-0     Treasure checkmated or captured     191 plies    8.7s  (89/300)
  [w3]  #84   *       ply cap (600)                       600 plies   26.6s  (90/300)
  [w2]  #103  0-1     Party extinct                       328 plies   14.7s  (91/300)
  [w2]  #107  1-0     Treasure checkmated or captured     315 plies   14.1s  (92/300)
  [w1]  #90   *       ply cap (600)                       600 plies   26.6s  (93/300)
  [w1]  #94   0-1     Party extinct                       146 plies    6.7s  (94/300)
  [w3]  #88   0-1     Party extinct                       578 plies   25.6s  (95/300)
  [w0]  #89   *       ply cap (600)                       600 plies   26.5s  (96/300)
  [w0]  #93   0-1     Party extinct                       362 plies   16.1s  (97/300)
  [w2]  #111  *       ply cap (600)                       600 plies   26.6s  (98/300)
  [w1]  #98   0-1     Party extinct                       400 plies   17.8s  (99/300)
  [w3]  #92   *       ply cap (600)                       600 plies   26.6s  (100/300)
  [w3]  #96   0-1     Party extinct                       238 plies   10.8s  (101/300)
  [w3]  #100  0-1     Party extinct                       110 plies    5.1s  (102/300)
  [w0]  #97   *       ply cap (600)                       600 plies   26.5s  (103/300)
  [w2]  #115  *       ply cap (600)                       600 plies   26.5s  (104/300)
  [w1]  #102  *       ply cap (600)                       600 plies   26.5s  (105/300)
  [w3]  #104  0-1     Party extinct                       270 plies   12.1s  (106/300)
  [w3]  #108  0-1     Party has no legal response          80 plies    3.9s  (107/300)
  [w3]  #112  0-1     Party extinct                       208 plies    9.5s  (108/300)
  [w0]  #101  *       ply cap (600)                       600 plies   26.5s  (109/300)
  [w2]  #119  *       ply cap (600)                       600 plies   26.5s  (110/300)
  [w1]  #106  *       ply cap (600)                       600 plies   26.5s  (111/300)
  [w2]  #123  0-1     Party extinct                        92 plies    4.3s  (112/300)
  [w1]  #110  0-1     Party extinct                       254 plies   11.4s  (113/300)
  [w2]  #127  0-1     Party extinct                       240 plies   10.8s  (114/300)
  [w3]  #116  *       ply cap (600)                       600 plies   26.6s  (115/300)
  [w0]  #105  *       ply cap (600)                       600 plies   26.5s  (116/300)
  [w1]  #114  *       ply cap (600)                       600 plies   26.6s  (117/300)
  [w2]  #131  *       ply cap (600)                       600 plies   26.6s  (118/300)
  [w3]  #120  *       ply cap (600)                       600 plies   26.5s  (119/300)
  [w0]  #109  *       ply cap (600)                       600 plies   26.5s  (120/300)
  [w3]  #124  1-0     Treasure checkmated or captured      61 plies    3.0s  (121/300)
  [w1]  #118  *       ply cap (600)                       600 plies   26.5s  (122/300)
  [w2]  #135  *       ply cap (600)                       600 plies   26.5s  (123/300)
  [w0]  #113  *       ply cap (600)                       600 plies   26.5s  (124/300)
  [w1]  #122  0-1     Party extinct                       340 plies   15.3s  (125/300)
  [w3]  #128  *       ply cap (600)                       600 plies   26.5s  (126/300)
  [w2]  #139  0-1     Party extinct                       306 plies   13.7s  (127/300)
  [w2]  #143  1-0     Treasure checkmated or captured      73 plies    3.5s  (128/300)
  [w1]  #126  0-1     Party extinct                       236 plies   10.7s  (129/300)
  [w2]  #147  0-1     Party extinct                       156 plies    7.2s  (130/300)
  [w0]  #117  *       ply cap (600)                       600 plies   26.5s  (131/300)
  [w3]  #132  *       ply cap (600)                       600 plies   26.5s  (132/300)
  [w2]  #151  0-1     Party extinct                       454 plies   20.1s  (133/300)
  [w1]  #130  *       ply cap (600)                       600 plies   26.5s  (134/300)
  [w1]  #134  1-0     Treasure checkmated or captured     217 plies    9.9s  (135/300)
  [w2]  #155  1-0     Treasure checkmated or captured     431 plies   19.2s  (136/300)
  [w0]  #121  *       ply cap (600)                       600 plies   26.5s  (137/300)
  [w3]  #136  *       ply cap (600)                       600 plies   26.5s  (138/300)
  [w0]  #125  0-1     Party extinct                       322 plies   14.4s  (139/300)
  [w1]  #138  0-1     Party extinct                       540 plies   23.9s  (140/300)
  [w2]  #159  *       ply cap (600)                       600 plies   26.6s  (141/300)
  [w3]  #140  *       ply cap (600)                       600 plies   26.5s  (142/300)
  [w0]  #129  *       ply cap (600)                       600 plies   26.6s  (143/300)
  [w3]  #144  0-1     Party extinct                       326 plies   14.6s  (144/300)
  [w1]  #142  *       ply cap (600)                       600 plies   26.6s  (145/300)
  [w0]  #133  0-1     Party extinct                       194 plies    8.9s  (146/300)
  [w2]  #163  *       ply cap (600)                       600 plies   26.5s  (147/300)
  [w2]  #167  0-1     Party extinct                       140 plies    6.5s  (148/300)
  [w1]  #146  0-1     Party extinct                       456 plies   20.3s  (149/300)
  [w3]  #148  0-1     Party extinct                       552 plies   24.5s  (150/300)
  [w0]  #137  0-1     Party extinct                       500 plies   22.2s  (151/300)
  [w1]  #150  0-1     Party extinct                       280 plies   12.6s  (152/300)
  [w1]  #154  0-1     Party has no legal response         130 plies    6.1s  (153/300)
  [w2]  #171  *       ply cap (600)                       600 plies   26.6s  (154/300)
  [w3]  #152  *       ply cap (600)                       600 plies   26.5s  (155/300)
  [w0]  #141  *       ply cap (600)                       600 plies   26.5s  (156/300)
  [w1]  #158  *       ply cap (600)                       600 plies   26.5s  (157/300)
  [w2]  #175  *       ply cap (600)                       600 plies   26.5s  (158/300)
