Match: rule-set 'v5-d8-minion-9'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/gb/ns03xtr53539qh0kc35fzv8dxfq40g/T/yes-hybrid/variants-v5-d8-minion-9-6972-1415d66083474cbfa185e6e952dbedd4.ini
  startFen : 4abtba3/m1mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)
  [w2]  #75   1-0     Treasure checkmated or captured     585 plies   24.8s  (83/300)
  [w0]  #85   0-1     Party extinct                       468 plies   19.9s  (84/300)
  [w3]  #96   0-1     Party extinct                       408 plies   17.3s  (85/300)
  [w2]  #79   0-1     Party extinct                       392 plies   16.5s  (86/300)
  [w2]  #83   0-1     Party extinct                       160 plies    6.7s  (87/300)
  [w0]  #89   *       ply cap (600)                       600 plies   25.2s  (88/300)
  [w3]  #100  *       ply cap (600)                       600 plies   25.2s  (89/300)
  [w0]  #93   0-1     Party extinct                       278 plies   11.8s  (90/300)
  [w3]  #104  0-1     Party extinct                       296 plies   12.5s  (91/300)
  [w2]  #87   *       ply cap (600)                       600 plies   25.2s  (92/300)
  [w3]  #108  0-1     Party extinct                       106 plies    4.5s  (93/300)
  [w0]  #97   *       ply cap (600)                       600 plies   25.2s  (94/300)
  [w2]  #91   0-1     Party extinct                       428 plies   18.0s  (95/300)
  [w3]  #112  *       ply cap (600)                       600 plies   25.3s  (96/300)
  [w2]  #95   0-1     Party extinct                       438 plies   18.5s  (97/300)
  [w0]  #101  *       ply cap (600)                       600 plies   25.2s  (98/300)
  [w3]  #116  0-1     Party extinct                       424 plies   17.9s  (99/300)
  [w0]  #105  0-1     Party extinct                       172 plies    7.2s  (100/300)
  [w2]  #99   0-1     Party extinct                       354 plies   14.9s  (101/300)
  [w3]  #120  *       ply cap (600)                       600 plies   25.2s  (102/300)
  [w0]  #109  *       ply cap (600)                       600 plies   25.2s  (103/300)
  [w3]  #124  0-1     Party extinct                       124 plies    5.3s  (104/300)
  [w2]  #103  *       ply cap (600)                       600 plies   25.2s  (105/300)
  [w1]  #82   *       engine timeout                      304 plies  132.9s  (106/300)
  [w0]  #113  0-1     Party extinct                       330 plies   13.9s  (107/300)
  [w0]  #117  0-1     Party extinct                       236 plies   10.0s  (108/300)
  [w3]  #128  *       ply cap (600)                       600 plies   25.3s  (109/300)
  [w2]  #107  *       ply cap (600)                       600 plies   25.3s  (110/300)
  [w2]  #111  0-1     Party extinct                       494 plies   20.8s  (111/300)
  [w0]  #121  *       ply cap (600)                       600 plies   25.5s  (112/300)
  [w3]  #132  *       ply cap (600)                       600 plies   25.3s  (113/300)
  [w2]  #115  0-1     Party extinct                       138 plies    5.8s  (114/300)
  [w0]  #125  *       ply cap (600)                       600 plies   25.5s  (115/300)
  [w3]  #136  *       ply cap (600)                       600 plies   25.4s  (116/300)
  [w2]  #119  *       ply cap (600)                       600 plies   25.3s  (117/300)
  [w3]  #140  0-1     Party extinct                       116 plies    4.9s  (118/300)
  [w3]  #144  0-1     Party has no legal response          66 plies    2.8s  (119/300)
  [w0]  #129  *       ply cap (600)                       600 plies   25.5s  (120/300)
  [w2]  #123  *       ply cap (600)                       600 plies   25.2s  (121/300)
  [w0]  #133  0-1     Party extinct                       110 plies    4.8s  (122/300)
  [w3]  #148  *       ply cap (600)                       600 plies   25.3s  (123/300)
  [w2]  #127  0-1     Party extinct                       182 plies    7.8s  (124/300)
  [w3]  #152  0-1     Party extinct                       446 plies   18.9s  (125/300)
  [w0]  #137  *       ply cap (600)                       600 plies   25.4s  (126/300)
  [w2]  #131  *       ply cap (600)                       600 plies   25.3s  (127/300)
  [w3]  #156  0-1     Party extinct                       276 plies   11.7s  (128/300)
  [w2]  #135  0-1     Party extinct                       254 plies   11.0s  (129/300)
