rank,ruleset,games,party_wins,horde_wins,unfinished,decisive_pct,party_share_decisive_pct,imbalance_pct,composite,party_ci_lo,party_ci_hi,median_plies,elapsed_sec
1,v5-d8-minion-6,300,77,96,127,57.7,44.5,11.0,0.513,37.3,52.0,260,1487.3
2,v5-d8-minion-7,300,41,114,145,51.7,26.5,47.1,0.273,20.1,33.9,258,1530.4
3,v5-d8-minion-9,300,35,127,138,54.0,21.6,56.8,0.233,16.0,28.6,309,1770.4
4,v5-d8-striker-range,300,32,118,150,50.0,21.3,57.3,0.213,15.5,28.6,248,1535.2
5,v5-d8-lurker-range,300,28,188,84,72.0,13.0,74.1,0.187,9.1,18.1,220,1381.9
6,v5-d8-baseline,300,18,122,160,46.7,12.9,74.3,0.120,8.3,19.4,294,1605.1
