Match: rule-set 'v5-d8-minion-7'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/gb/ns03xtr53539qh0kc35fzv8dxfq40g/T/yes-hybrid/variants-v5-d8-minion-7-11694-8c3db3d593064ebd91dcaf6413ffb16c.ini
  startFen : 4abtba3/2mubmbum3/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)

  [w0]  #1    0-1     Party extinct                       136 plies    5.8s  (1/300)
  [w3]  #4    0-1     Party extinct                       396 plies   16.9s  (2/300)
  [w3]  #8    1-0     Treasure checkmated or captured     117 plies    5.0s  (3/300)
  [w1]  #2    *       ply cap (600)                       600 plies   25.2s  (4/300)
  [w2]  #3    *       ply cap (600)                       600 plies   25.4s  (5/300)
  [w0]  #5    *       ply cap (600)                       600 plies   25.4s  (6/300)
  [w1]  #6    1-0     Treasure checkmated or captured     151 plies    6.6s  (7/300)
  [w2]  #7    1-0     Treasure checkmated or captured     301 plies   12.9s  (8/300)
  [w3]  #12   *       ply cap (600)                       600 plies   25.4s  (9/300)
  [w0]  #9    0-1     Party extinct                       458 plies   19.4s  (10/300)
  [w2]  #11   0-1     Party extinct                       416 plies   17.8s  (11/300)
  [w1]  #10   *       ply cap (600)                       600 plies   25.5s  (12/300)
  [w2]  #15   0-1     Party extinct                       174 plies    7.5s  (13/300)
  [w3]  #16   *       ply cap (600)                       600 plies   25.4s  (14/300)
  [w2]  #19   1-0     Treasure checkmated or captured     237 plies   10.4s  (15/300)
  [w0]  #13   *       ply cap (600)                       600 plies   25.3s  (16/300)
  [w3]  #20   0-1     Party extinct                       144 plies    6.1s  (17/300)
  [w1]  #14   *       ply cap (600)                       600 plies   25.3s  (18/300)
  [w1]  #18   0-1     Party extinct                       184 plies    7.9s  (19/300)
  [w2]  #23   0-1     Party extinct                       574 plies   24.2s  (20/300)
  [w0]  #17   *       ply cap (600)                       600 plies   25.3s  (21/300)
  [w3]  #24   *       ply cap (600)                       600 plies   25.4s  (22/300)
  [w1]  #22   *       ply cap (600)                       600 plies   25.3s  (23/300)
  [w0]  #21   0-1     Party extinct                       468 plies   19.7s  (24/300)
  [w2]  #27   *       ply cap (600)                       600 plies   25.4s  (25/300)
  [w3]  #28   *       ply cap (600)                       600 plies   25.3s  (26/300)
  [w0]  #25   0-1     Party extinct                       230 plies    9.9s  (27/300)
  [w3]  #32   1-0     Treasure checkmated or captured     183 plies    8.0s  (28/300)
  [w2]  #31   0-1     Party extinct                       372 plies   15.8s  (29/300)
  [w1]  #26   *       ply cap (600)                       600 plies   25.3s  (30/300)
  [w0]  #29   1-0     Treasure checkmated or captured     381 plies   16.2s  (31/300)
  [w3]  #36   0-1     Party extinct                       276 plies   11.8s  (32/300)
