Match: rule-set 'v5-d8-minion-6'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v5-d8-minion-6-64091-7d900a49bbd04109ab6726a13000c559.ini
  startFen : 4abtba3/2mubmbu4/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)

  [w1]  #2    0-1     Party extinct                       114 plies    5.1s  (1/300)
  [w3]  #4    0-1     Party extinct                       292 plies   12.6s  (2/300)
  [w2]  #3    0-1     Party extinct                       346 plies   14.9s  (3/300)
  [w0]  #1    *       ply cap (600)                       600 plies   25.5s  (4/300)
  [w1]  #6    *       ply cap (600)                       600 plies   25.5s  (5/300)
  [w3]  #8    *       ply cap (600)                       600 plies   25.5s  (6/300)
  [w2]  #7    *       ply cap (600)                       600 plies   25.5s  (7/300)
  [w3]  #12   1-0     Treasure checkmated or captured     187 plies    8.4s  (8/300)
  [w2]  #11   1-0     Treasure checkmated or captured     195 plies    8.6s  (9/300)
  [w0]  #5    *       ply cap (600)                       600 plies   25.5s  (10/300)
  [w3]  #16   1-0     Treasure checkmated or captured     117 plies    5.2s  (11/300)
  [w1]  #10   *       ply cap (600)                       600 plies   25.5s  (12/300)
  [w3]  #20   1-0     Treasure checkmated or captured     355 plies   15.2s  (13/300)
  [w2]  #15   *       ply cap (600)                       600 plies   25.5s  (14/300)
  [w1]  #14   0-1     Party extinct                       454 plies   19.4s  (15/300)
  [w0]  #9    *       ply cap (600)                       600 plies   25.5s  (16/300)
  [w0]  #13   1-0     Treasure checkmated or captured     241 plies   10.4s  (17/300)
  [w3]  #24   *       ply cap (600)                       600 plies   25.6s  (18/300)
  [w2]  #19   *       ply cap (600)                       600 plies   25.5s  (19/300)
  [w1]  #18   *       ply cap (600)                       600 plies   25.5s  (20/300)
  [w3]  #28   0-1     Party extinct                       236 plies   10.2s  (21/300)
  [w1]  #22   0-1     Party extinct                       194 plies    8.4s  (22/300)
  [w2]  #23   1-0     Treasure checkmated or captured     311 plies   13.4s  (23/300)
  [w2]  #27   0-1     Party extinct                       178 plies    7.8s  (24/300)
  [w3]  #32   *       ply cap (600)                       600 plies   25.5s  (25/300)
  [w1]  #26   *       ply cap (600)                       600 plies   25.6s  (26/300)
  [w1]  #30   0-1     Party extinct                       268 plies   11.5s  (27/300)
  [w2]  #31   *       ply cap (600)                       600 plies   25.5s  (28/300)
  [w3]  #36   *       ply cap (600)                       600 plies   25.4s  (29/300)
  [w1]  #34   0-1     Party extinct                       210 plies    9.1s  (30/300)
  [w3]  #40   0-1     Party has no legal response          58 plies    2.7s  (31/300)
  [w3]  #44   1-0     Treasure checkmated or captured     229 plies    9.9s  (32/300)
  [w2]  #35   *       ply cap (600)                       600 plies   25.5s  (33/300)
  [w3]  #48   0-1     Party extinct                       308 plies   13.2s  (34/300)
  [w1]  #38   *       ply cap (600)                       600 plies   25.4s  (35/300)
  [w2]  #39   0-1     Party extinct                       216 plies    9.3s  (36/300)
  [w1]  #42   0-1     Party extinct                       138 plies    6.1s  (37/300)
  [w2]  #43   1-0     Treasure checkmated or captured     261 plies   11.3s  (38/300)
  [w1]  #46   1-0     Treasure checkmated or captured     199 plies    8.8s  (39/300)
  [w3]  #52   *       ply cap (600)                       600 plies   25.5s  (40/300)
  [w2]  #47   1-0     Treasure checkmated or captured     403 plies   17.2s  (41/300)
  [w3]  #56   0-1     Party extinct                       192 plies    8.4s  (42/300)
  [w0]  #17   *       engine timeout                      170 plies  127.6s  (43/300)
  [w2]  #51   1-0     Treasure checkmated or captured     163 plies    7.2s  (44/300)
  [w1]  #50   *       ply cap (600)                       600 plies   25.5s  (45/300)
  [w3]  #60   1-0     Treasure checkmated or captured     187 plies    8.2s  (46/300)
  [w0]  #21   1-0     Treasure checkmated or captured     325 plies   14.0s  (47/300)
  [w1]  #54   0-1     Party extinct                       372 plies   15.9s  (48/300)
  [w3]  #64   1-0     Treasure checkmated or captured     483 plies   20.6s  (49/300)
  [w2]  #55   *       ply cap (600)                       600 plies   25.6s  (50/300)
  [w3]  #68   0-1     Party extinct                        94 plies    4.3s  (51/300)
  [w0]  #25   0-1     Party extinct                       460 plies   19.6s  (52/300)
  [w2]  #59   0-1     Party extinct                       230 plies   10.0s  (53/300)
  [w1]  #58   0-1     Party extinct                       456 plies   19.4s  (54/300)
  [w1]  #62   0-1     Party has no legal response         112 plies    5.0s  (55/300)
  [w2]  #63   0-1     Party extinct                       422 plies   18.1s  (56/300)
  [w3]  #72   *       ply cap (600)                       600 plies   25.5s  (57/300)
  [w0]  #29   *       ply cap (600)                       600 plies   25.5s  (58/300)
  [w0]  #33   0-1     Party extinct                       278 plies   12.0s  (59/300)
  [w1]  #66   *       ply cap (600)                       600 plies   25.5s  (60/300)
  [w3]  #76   1-0     Treasure checkmated or captured     509 plies   21.7s  (61/300)
  [w2]  #67   *       ply cap (600)                       600 plies   25.5s  (62/300)
  [w0]  #37   0-1     Party extinct                       256 plies   11.1s  (63/300)
  [w1]  #70   *       ply cap (600)                       600 plies   25.5s  (64/300)
  [w3]  #80   *       ply cap (600)                       600 plies   25.6s  (65/300)
  [w0]  #41   0-1     Party extinct                       550 plies   23.5s  (66/300)
  [w2]  #71   *       ply cap (600)                       600 plies   25.5s  (67/300)
  [w1]  #74   *       ply cap (600)                       600 plies   25.5s  (68/300)
  [w0]  #45   1-0     Treasure checkmated or captured     543 plies   23.2s  (69/300)
  [w3]  #84   *       ply cap (600)                       600 plies   25.5s  (70/300)
