Match: rule-set 'v5-d8-lurker-range'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v5-d8-lurker-range-62409-d352d2a6124d4e1ea334a7a9a1df7f10.ini
  startFen : 4abtba3/2mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)
  [w1]  #110  1-0     Treasure checkmated or captured      47 plies    2.4s  (82/300)
  [w1]  #114  0-1     Party extinct                       120 plies    5.6s  (83/300)
  [w0]  #81   *       ply cap (600)                       600 plies   26.6s  (84/300)
  [w1]  #118  0-1     Party extinct                       390 plies   17.5s  (85/300)
  [w2]  #83   *       ply cap (600)                       600 plies   26.7s  (86/300)
  [w3]  #60   *       ply cap (600)                       600 plies   26.6s  (87/300)
  [w0]  #85   0-1     Party extinct                       296 plies   13.6s  (88/300)
  [w3]  #64   1-0     Treasure checkmated or captured     173 plies    7.9s  (89/300)
  [w2]  #87   0-1     Party extinct                       234 plies   10.6s  (90/300)
  [w1]  #122  0-1     Party extinct                       314 plies   14.3s  (91/300)
  [w3]  #68   0-1     Party extinct                       162 plies    7.4s  (92/300)
  [w1]  #126  1-0     Treasure checkmated or captured      93 plies    4.5s  (93/300)
  [w0]  #89   *       ply cap (600)                       600 plies   26.6s  (94/300)
  [w1]  #130  0-1     Party extinct                       320 plies   14.5s  (95/300)
  [w0]  #93   1-0     Treasure checkmated or captured     127 plies    5.9s  (96/300)
  [w2]  #91   *       ply cap (600)                       600 plies   26.6s  (97/300)
  [w3]  #72   *       ply cap (600)                       600 plies   26.6s  (98/300)
  [w3]  #76   0-1     Party extinct                       290 plies   13.1s  (99/300)
  [w1]  #134  *       ply cap (600)                       600 plies   26.6s  (100/300)
  [w2]  #95   0-1     Party extinct                       498 plies   22.2s  (101/300)
  [w0]  #97   *       ply cap (600)                       600 plies   26.7s  (102/300)
  [w1]  #138  0-1     Party extinct                       108 plies    5.1s  (103/300)
